node	Australia	Canada	Germany	Ireland	Singapore	UK	USA
SRR30795464	0.0	0.0	0.0	0.0	0.0	0.0	1.0
Node_6	0.00012465061772573983	0.005562164748098045	0.014377871709192821	0.00452112411996468	0.00030100907655107064	0.5851172805004015	0.3899958992280662
Node_26	0.00012119453106014878	0.005531533139215507	0.014397417006718947	0.00451882782268579	0.0003002304449247373	0.5853729908207533	0.3897578062346416
Node_129	0.00011977483698794527	0.0055218394174166565	0.014367397627366585	0.004520074846376756	0.0002951212516213433	0.5853419888173247	0.389833803202906
SRR30795514	0.0	0.0	0.0	0.0	0.0	0.0	1.0
SRR30795550	0.0	0.0	0.0	0.0	0.0	0.0	1.0
Node_21	0.0017427315423149718	0.0066970150911359145	0.011897789539084444	0.004381637968344472	0.008827982130135777	0.7012253400175732	0.2652275037114114
ERR1413171	0.0	0.0	1.0	0.0	0.0	0.0	0.0
Node_50	0.00012006073812692715	0.005520010175454799	0.01437210878522526	0.004518354201749233	0.0002953270365567919	0.5853258801614698	0.3898482589014173
Node_128	0.00011995920567828585	0.005521432558882127	0.01435435334086894	0.004529968097471862	0.00029503387221983417	0.5853447873000622	0.3898344656248167
SRR14719251	0.0	0.0	0.0	0.0	1.0	0.0	0.0
Node_20	6.289738854539915e-05	0.00015966994294731686	0.00020965838677802347	8.989697126950926e-05	0.00013397071360922295	0.9957844222290771	0.0035594843677734275
Node_28	0.00012165363438866807	0.005522481092590877	0.01439793983830872	0.004519321296886791	0.00029689424898832325	0.5852610751880464	0.3898806347007903
Node_49	0.00012050675398909826	0.005519303514544292	0.014368669040850178	0.004517459382435395	0.000295719398108639	0.5853355265840458	0.3898428153260267
Node_58	0.00012120176969862373	0.0055212199862292284	0.014349486649694605	0.004599095004794307	0.00029618543068559285	0.5850575102213419	0.39005530093755586
Node_127	0.00012112169024345989	0.00552615630161298	0.014349253473697005	0.004528687971411809	0.0002957513449001096	0.5855002667530358	0.3896787624650989
