node	Argentina	Australia	Canada	China	Czech Republic	Denmark	Germany	Ireland	Japan	Netherlands	Norway	Portugal	Singapore	UK	USA
Node_13	2.1527255415148546e-14	1.3837351835367192e-13	1.1553499562517533e-13	2.273928126632163e-13	6.182883484104327e-14	1.9335932018618487e-14	7.734878835227901e-14	5.800456561759456e-14	4.2041319620502166e-14	1.9335807969512315e-14	1.9335815042374363e-14	1.933580235764004e-14	1.3842284669351252e-13	0.9999999999986423	3.999175895300694e-13
ERR363297	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0
ERR330811	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0
SRR6046406	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0
Node_26	2.951136712818013e-11	1.8969402379457977e-10	1.5838506146249984e-10	3.117291381274467e-10	8.476015213800314e-11	2.6507317238659045e-11	1.0603620600783669e-10	7.951752316028511e-11	5.763376677366565e-11	2.6507147181740804e-11	2.650715687781327e-11	2.650713948851564e-11	1.8976164721980448e-10	0.9999999981387018	5.482405712218046e-10
Node_33	1.195658837485688e-07	7.685490644438209e-07	6.417001884081442e-07	1.2629767278655431e-06	3.434074217241593e-07	1.0739491659868032e-07	4.2960777200206174e-07	3.2216784718097765e-07	2.335043384510659e-07	1.0739422760973528e-07	1.0739426689356252e-07	1.073941964404824e-07	7.688230420797596e-07	0.9999924589126605	2.2212074459390802e-06
Node_68	5.546559350455771e-11	3.5652335482547195e-10	2.976792433271782e-10	5.85884130132227e-10	1.593037734730572e-10	4.9819585669104725e-11	1.9929138062808386e-10	1.694104575766401e-10	1.0832067067984676e-10	4.981926605300062e-11	4.981928427644396e-11	4.981925159385009e-11	3.5665045071358094e-10	0.9999999964817944	1.03039918598659e-09
ERR374182	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0
ERR340552	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0
ERR4020112	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ERR5412125	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0
SRR12051701	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0
SRR7800410	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0
SRR12051553	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0
SRR12051552	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0
Node_82	0.0024545423516489384	0.01578048322281301	0.029473570501412843	0.027647456995785184	0.009885196378540847	0.005235664340172235	0.008819325717061163	0.006613693129356056	0.004793560402360578	0.002204673010897302	0.00220467382321822	0.002204673558319678	0.015783002948332545	0.8052112835368415	0.06168820008323993
Node_90	0.0025168507588857816	0.016212747164240808	0.1965433295934969	0.04590032518980291	0.07323663721365205	0.03629552299281491	0.009043203969242441	0.006781580535437272	0.004915244450802899	0.002260638238562205	0.0022606391314159723	0.002260650914534287	0.016183651635194495	0.35816352072628166	0.22742545748563545
Node_92	4.250274274810738e-12	2.732436703513739e-11	4.557879726344325e-11	4.729504687529178e-11	1.6157628482869642e-11	0.9999999994695917	1.527150394218422e-11	1.1452240705566188e-11	8.300507206365391e-12	3.8176016793864535e-12	3.817603084020641e-12	3.817602227531822e-12	2.7329775555698627e-11	2.1459373901610487e-10	1.0140155205672216e-10
Node_100	2.173217518202367e-06	1.3980990299408e-05	0.9990263900737569	2.9559838085093226e-05	1.7115000143506834e-05	1.3605001477974914e-05	7.808507880406585e-06	5.855671302024486e-06	4.244151379119715e-06	1.9519866178029933e-06	1.9519873543656406e-06	1.9519906097718734e-06	1.3974049843101377e-05	0.0007572907607956924	0.00010214677293640293
Node_104	3.663046553466475e-08	2.3783672505372843e-07	2.104525168474055e-07	1.701506464077253e-06	1.481303236963773e-07	3.547893379785574e-08	1.316155783330073e-07	9.869971945228189e-08	7.153689769667479e-08	3.2901527705959217e-08	3.2901540346631205e-08	3.290164095087991e-08	2.3553828897310106e-07	2.0630701719757876e-06	0.9999949307992054
SRR25361507	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Node_107	0.0003385064953214236	0.002736589712277785	0.005092079564889201	0.31619417924060456	0.011188585862278874	0.0009130881969767763	0.001216275717005343	0.0009120940535943877	0.0006610805596941528	0.00030404633606898653	0.00030404659039952054	0.00030407526636902005	0.002176633078708307	0.10724592934898963	0.5504127899768219
Node_109	0.00033804838992477354	0.002733781165047194	0.005090415802923315	0.3159471547097446	0.011155148159660613	0.0009128245235515629	0.0012146297155027975	0.0009108597014267951	0.0006601859097546165	0.000303634865072154	0.0003036351192869069	0.00030366380253375454	0.0021736874047113266	0.1072875355580008	0.5506647951728588
Node_116	1.778688593047264e-11	1.1443112770242615e-10	9.978016943347036e-11	2.433249295074772e-10	5.438679084585275e-11	1.6779489059728268e-11	6.390940521356534e-11	4.7926245993447955e-11	3.473662244615107e-11	1.5976202555792345e-11	1.59762085884749e-11	1.597644889662633e-11	1.1437181422329612e-10	0.999999998536419	6.082185886269255e-10
ERR5412446	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0
Node_122	1.997607949420461e-08	1.2840326258028013e-07	1.0722886627458903e-07	2.1125034305374235e-07	5.7388118474768533e-08	1.79461699091355e-08	7.177531530007723e-08	5.382496705801069e-08	3.9011974658573e-08	1.7942539796977243e-08	1.794254636102043e-08	1.8506082329963948e-08	1.2844859855479203e-07	0.9999987380384691	3.723166670394905e-07
Node_130	2.4820753767323813e-08	1.5994195584355793e-07	1.5040802934827494e-07	4.829143289185504e-07	8.44295230803174e-08	2.5491919635465602e-08	8.918253856916032e-08	6.687879155155835e-08	4.847330378512751e-08	2.229402906228055e-08	2.2294037968644782e-08	3.047104199108468e-06	1.5960041448610143e-07	0.9999940491008793	1.567065295588397e-06
