node	Australia	Canada	Germany	Ireland	Japan	Norway	UK	USA
n27	1.3108190653075066e-08	1.2848130706750253e-08	4.073460245357113e-08	3.2395869908768304e-08	1.2745577083899705e-08	6.424769304644269e-09	0.9999998636017158	1.8141144207052012e-08
ERR7253712	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0
ERR5671701	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0
n2929	7.586584175405423e-12	7.440238553503851e-12	1.689895588578727e-11	1.394167986604113e-11	7.379659942516213e-12	3.720240846936714e-12	0.9999999999325623	1.0470455510327481e-11
n30	7.585676933731553e-12	7.439343053450128e-12	1.689768425890291e-11	1.3946666342570127e-11	7.378773377831833e-12	3.719793477309703e-12	0.9999999999325629	1.0469243515327145e-11
ERR4020111	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0
n32	1.7209098306064198e-13	1.6812877477334394e-13	4.669235834587302e-13	0.9999999999951236	1.6694331311314345e-13	8.411120952977778e-14	3.5762444747679983e-12	2.4198324207348317e-13
SRR32028571	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0
SRR32028610	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0
SRR7800548	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0
SRR7800559	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0
ERR5384783	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0
n99	0.028120074499103382	0.00756379026497961	0.03535671112676126	0.002578668692445902	0.04407510759631208	0.02389671434695258	0.10985675912316216	0.748552174350283
ERR7253827	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0
n1414	0.025561235305768974	0.011389887317188412	0.2488635720021477	0.004903270229884849	0.022066876849745457	0.010167172785893916	0.33948956040857764	0.3375584251007931
n2020	0.9999999999968178	2.993324701654885e-13	6.33004399365111e-13	1.5116355702811697e-13	2.967942131861977e-13	1.4964683950213336e-13	1.2340759376636032e-12	4.182783454813947e-13
ERR459819	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ERR494957	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ERR459818	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ERR5413391	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0
n2727	3.5149921542875935e-12	3.4512700372709462e-12	7.2985427278481e-12	1.743037476625644e-12	3.422004251223147e-12	1.7254113979630952e-12	0.9999999999740219	4.8227037321785635e-12
ERR5413267	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0
SRR6045518	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0
ERR5413505	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0
n3030	1.303754127073947e-15	1.2799705428692824e-15	2.7263870398229846e-15	8.178056236145174e-16	1.2691590350824268e-15	6.399124949624551e-16	0.9999999999999901	1.789833247100658e-15
n3232	8.559647236755255e-14	8.404472547086503e-14	1.7773107257968364e-13	0.9999999999990633	8.333204932542403e-14	4.2016916963854905e-14	3.4649623442658376e-13	1.1744161498973322e-13
ERR4020070	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0
n10	0.02812073719884643	0.007565612605509833	0.03535943325391091	0.0025796615145669667	0.0440747767645867	0.023896449723161347	0.10986259831535684	0.748540730624061
n12	0.028119150538696392	0.007564686483000833	0.035356864581353814	0.002579232933227373	0.044081432247097374	0.023895352779880658	0.10986335632362486	0.7485399241131186
n15	1.1428343152432827e-10	8.307450839409254e-11	6.534572104823048e-10	4.0148955515663485e-11	1.0526996136483694e-10	5.1039442500509844e-11	0.9999999981529692	7.997571676698317e-10
n18	0.0074490153248694966	0.0067209306957831	0.9081178131915133	0.003357369952630647	0.007130033610142403	0.00355354279083129	0.0403645187503992	0.023306775683830456
ERR459820	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ERR459821	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ERR5413382	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0
ERR5412016	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0
n31	1.17614145236112e-15	1.154819615007081e-15	2.4421206129095993e-15	5.831893339100172e-16	1.1450270631530833e-15	5.773349798511884e-16	0.9999999999999913	1.6137108140751868e-15
SRR6046296	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0
ERR337733	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0
ERR363323	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0
n1010	5.974626110371782e-05	5.5167940033981715e-05	0.00012004050688053786	2.7643546240939094e-05	6.107723491594089e-05	3.108759469823608e-05	0.0002411617083641374	0.9994040752077625
n1111	7.022136823050859e-11	6.781906333096728e-11	1.4450903215316362e-10	3.4178863193777936e-11	6.930439572105147e-11	3.503830078962883e-11	0.9999999994425858	1.363430655675683e-10
n1212	7.309660346641579e-11	6.700134568811464e-11	1.4629619079523972e-10	3.3540513379460085e-11	7.513849104498084e-11	3.828281979253229e-11	0.999999999297401	2.6924313654102145e-10
n1313	0.025484778187203797	0.011633996103280161	0.037533858948764355	0.005046305856287739	0.08256743916392648	0.019250975066658464	0.10051546974859399	0.717967176925285
n1515	3.47721792653541e-11	2.9050732171236444e-11	1.4491540967223708e-10	1.435549964968923e-11	3.2805647330335504e-11	1.618472398642737e-11	0.9999999995678646	1.600512529723351e-10
n1616	3.098854445668633e-15	2.5525087751667206e-15	1.3435398777338193e-14	1.258676693397023e-15	2.91610445550338e-15	1.4360328733487635e-15	0.9999999999999601	1.5068059436255714e-14
ERR7253727	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0
ERR7253726	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0
ERR5413067	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0
SRR6045906	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0
SRR7800649	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0
SRR12051816	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0
ERR330766	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0
ERR363252	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0
ERR5413462	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0
n13	2.405816110729949e-15	2.2819579883992897e-15	4.9032040992775136e-15	1.1474259769461811e-15	2.409050095306382e-15	1.2213505141242878e-15	0.9999999999999793	6.14301658019386e-15
SRR30795562	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0
DRR317488	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0
n16	1.480230618310707e-11	1.4533960625141267e-11	3.073525914894489e-11	7.339682141698383e-12	1.4410716642542436e-11	7.266038570153312e-12	0.9999999998906028	2.030932707538876e-11
ERR5413262	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0
n17	1.1761716520346644e-15	1.154841023985968e-15	2.442300766654931e-15	5.831967513799409e-16	1.1450547704763034e-15	5.77348373394318e-16	0.9999999999999913	1.6139341862485864e-15
n1717	1.1761716520346644e-15	1.154841023985968e-15	2.442300766654931e-15	5.831967513799409e-16	1.1450547704763034e-15	5.77348373394318e-16	0.9999999999999913	1.6139341862485864e-15
ERR5413609	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0
ERR5412044	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0
ERR340557	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0
ERR374187	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0
ERR5414162	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0
SRR6388679	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0
ERR5414218	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0
ERR5413423	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0
