node	Argentina	Australia	Brazil	Canada	China	Czech Republic	Denmark	Germany	Ireland	Japan	Norway	Portugal	Singapore	Spain	Taiwan	Thailand	UK	USA
Node_230	1.0397873901724667e-05	0.00011900901687214619	1.0808941911159023e-05	0.0006154736965971227	0.00013843997567193262	3.1182398915784866e-05	2.0794565067116536e-05	0.000653460643643713	2.0793115320794213e-05	0.0003085726918747674	0.0015067861981190754	2.2913237194533538e-05	0.8937623028180244	0.10159108323228358	5.475707206153487e-05	3.150753696938873e-05	0.0007431136118691483	0.00035860337370201387
Node_553	0.0018398492068579498	0.057709676513352806	0.002115419996027999	0.030935053422008536	0.025555881137181123	0.00551756261141053	0.0036852171424029668	0.03760639221714971	0.0036797808721878763	0.05869601928476103	0.008683653479003838	0.051512207541628996	0.19180282873642765	0.011710902792132756	0.04462767705900986	0.005644803655151114	0.38651713420941514	0.07215994012388996
Node_1382	0.0018392774262465052	0.05774572018567129	0.0021147975326433113	0.030928206617354036	0.025549521556867058	0.005515847887467153	0.003684080420764837	0.037624624452244716	0.0036786381037991235	0.05868389460133688	0.008682754328597012	0.051440841601644006	0.19182129252514976	0.01170800892292001	0.044596762149521386	0.005643153497273002	0.3865925771418471	0.0721500010486529
SRR14719234	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0
Node_19	0.00172709810664403	0.18694512632634067	0.056326656936155656	0.013888325576805822	0.022950513845015157	0.005179430168677349	0.0034537591267104835	0.015623715126279846	0.003453735922649637	0.05108219820392357	0.006911828046499693	0.0018148862439891767	0.17028611429789234	0.006751222888074058	0.007628887936339319	0.005230507461960512	0.28253540998661875	0.15821058379942401
ERR1045545	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Node_25	1.0856680092217675e-15	1.1550740294304642e-14	0.9999999999997358	8.712359019981383e-15	1.4425650876576904e-14	3.2558322059914237e-15	2.171054613328705e-15	9.79790456550851e-15	2.1710460395721183e-15	3.210593381288519e-14	4.343364344760514e-15	1.0858383672464583e-15	5.3109705838554097e-14	4.238846531714575e-15	4.755065564055705e-15	3.2878588937541263e-15	7.069818270108401e-14	3.7366262504046885e-14
ERR1045666	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Node_206	1.3044381986085732e-17	1.7291829938940127e-16	0.9999999999999967	1.046916029449554e-16	1.733260889410488e-16	3.911906643419573e-17	2.608538729755679e-17	1.1773806681766058e-16	2.608528027834226e-17	3.8575835258216995e-16	5.218682346780865e-17	1.308307330316028e-17	6.590122978066561e-16	5.0933405516354815e-17	5.715945422671218e-17	3.950392337110776e-17	8.839766904463797e-16	4.902581761555996e-16
SRR16943780	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Node_219	8.82919026631574e-14	9.431625436108202e-13	9.140900128926215e-14	0.999999999976691	1.1735930445938567e-12	2.647804099684734e-13	1.7656323162645034e-13	8.06224490421476e-13	1.765604440607301e-13	2.612666477598042e-12	3.570422383520206e-13	1.0743189575075099e-13	6.398821818627689e-12	5.739697304787591e-13	4.0079121909072657e-13	2.6741311048387216e-13	5.841341567038183e-12	3.0290155368066706e-12
Node_229	9.539636022336321e-06	0.0001091804918360148	9.916743820839696e-06	0.0005643675189573687	0.00012701301464714833	2.860861160369301e-05	1.9078186063604454e-05	0.000645604295345205	1.9076856763436572e-05	0.0002831025597255718	0.0015042359708821226	2.1014806646655347e-05	0.8939181269826851	0.10165125365550616	5.02321510375346e-05	2.8906902287321292e-05	0.000681738592873196	0.00032900302329656717
