node	Australia	Bangladesh	Canada	China	Czech Republic	Germany	Ireland	Portugal	Taiwan	UK	USA
Node_63	0.019963006748816688	0.01996301792082989	0.034209223590818544	0.06212726621419908	0.020211271690383635	0.0199630146452667	0.0411005873936528	0.019980498990451446	0.20611797278011681	0.3747962665787646	0.18156787344669983
Node_78	0.022256077424442074	0.022256089930840977	0.038138700179793546	0.06926357661676776	0.023550887241655275	0.022256086227925694	0.04619116055408377	0.022259833963150694	0.1088997808488247	0.41839990818385636	0.2065278988286592
SRR7800707	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0
SRR7800493	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0
Node_82	4.286224363300972e-11	4.28622675325581e-11	7.345006161294455e-11	1.3339243198775757e-10	4.2862267860224027e-11	4.286226058734774e-11	8.805292496743752e-11	4.286228528795286e-11	1.3747695001208313e-10	8.042834056868628e-10	0.9999999985490329
Node_93	4.0856012265623136e-08	4.085603504651677e-08	7.001212171399625e-08	1.271487998644087e-07	4.0856035358820064e-08	4.085602842638802e-08	8.393147622637875e-08	4.0856051970844413e-08	1.310421359171307e-07	7.66637718947318e-07	0.9999986169475843
Node_103	0.0039578579536450765	0.003957876390577795	0.4098575198227456	0.2367086578369856	0.00395786019077152	0.003957859519192185	0.013519489569946613	0.003957861800022141	0.012694488061080178	0.2716306115437885	0.03579991731124482
Node_106	0.003978175384807845	0.003978193873947326	0.40915077923227783	0.23635965379281523	0.00397817763341838	0.003978176958391597	0.013598874314280071	0.003978179250930059	0.012759654469359947	0.2722564395988982	0.03598369549087331
ERR5413833	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0
ERR1081297	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0
ERR5412127	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0
ERR5412039	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0
ERR494941	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0
