node	Australia	Canada	Denmark	Germany	Japan	Norway	Singapore	Spain	Sweden	Taiwan	UK	USA
Node_18	0.0027124441630941706	0.004809876103106068	0.012629925919699143	0.00024435158835116327	0.0004512232027005287	0.0012380208122407701	0.0038239287276987713	0.00024699474400722047	0.00032958602958311383	0.0008903515170480941	0.9679349663323057	0.004688330860165236
Node_20	2.1179283755234987e-11	2.4806717855309753e-11	4.305377240660557e-12	4.222636007642502e-12	4.2321262355130664e-12	8.46687321521455e-12	1.2696946113061444e-11	4.222461387001652e-12	4.224395857402014e-12	0.9999999998309865	4.926961594451231e-11	3.1386988747504786e-11
ERR5414245	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0
ERR5384776	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0
Node_26	0.00962319717605734	0.008497235362559237	0.0016326982469862083	0.0013396425705770913	0.04927543952694827	0.01971651735276039	0.004210250829104575	0.0013447692984660015	0.021118198515874122	0.002763685356689192	0.8687737641285697	0.011704601635407994
Node_55	0.0034415668698724224	0.0008620731245649612	0.00034964735217338856	1.4961616511303969e-05	0.00047838947497194715	0.0006881728890869324	0.00026232891134189744	2.0992962942291197e-05	0.00020617321490673253	0.00012442976701105795	0.9913837264523161	0.002167537364300921
Node_119	0.00344113880638164	0.0008617184685348947	0.00034958837907916114	1.4935608267715092e-05	0.00047831781795332467	0.0006880561108216453	0.00026232636849722086	2.0937365251123773e-05	0.00020612838408657348	0.0001243352715992607	0.9913872805884907	0.0021652368310368956
SRR12051693	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0
SRR12051654	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0
Node_15	1.3126258218727543e-11	1.5596601390258258e-11	4.613045431525221e-12	2.576722686396428e-12	2.6105866917308186e-12	5.2684113286110615e-12	8.241649423431107e-12	2.5769771413258684e-12	2.589379998219244e-12	5.222837333938548e-12	0.9999999999180339	1.9543643910722214e-11
