node	Czech Republic	Germany	Ireland	UK	USA
Node_22	5.714737438451835e-12	1.6241563545127874e-11	5.503297264489902e-12	0.9999999999670374	5.5029928898337235e-12
ERR459973	0.0	0.0	1.0	0.0	0.0
ERR4020104	0.0	0.0	1.0	0.0	0.0
ERR5413969	0.0	0.0	0.0	1.0	0.0
ERR5412731	0.0	0.0	0.0	1.0	0.0
ERR5412770	0.0	0.0	0.0	1.0	0.0
ERR5412055	0.0	0.0	0.0	1.0	0.0
Node_41	4.322285261586015e-12	1.228414976651159e-11	4.1623647780621935e-12	0.999999999975069	4.162136340140363e-12
ERR5412793	0.0	0.0	0.0	1.0	0.0
ERR5413080	0.0	0.0	0.0	1.0	0.0
Node_48	9.019410388300223e-09	2.5633833929772326e-08	8.685703358128341e-09	0.999999947975803	8.685249229090484e-09
ERR5414087	0.0	0.0	0.0	1.0	0.0
ERR5396043	0.0	0.0	0.0	1.0	0.0
ERR5412258	0.0	0.0	0.0	1.0	0.0
ERR5413559	0.0	0.0	0.0	1.0	0.0
ERR5412260	0.0	0.0	0.0	1.0	0.0
Node_21	9.449110538935183e-16	2.685483469136947e-15	9.099501897571564e-16	0.9999999999999946	9.098998627366317e-16
Node_39	4.322008960250653e-12	1.2283361029372261e-11	4.162098492888001e-12	0.9999999999750706	4.1618682980163855e-12
Node_40	9.129187005424327e-16	2.5945597145790762e-15	8.791415295830165e-16	0.9999999999999947	8.790929472502961e-16
ERR5413823	0.0	0.0	0.0	1.0	0.0
Node_47	9.989776258061395e-10	2.8391684659976823e-09	9.620166875680688e-10	0.9999999942378708	9.619663760524182e-10
ERR5412279	0.0	0.0	0.0	1.0	0.0
ERR5413041	0.0	0.0	0.0	1.0	0.0
ERR5414254	0.0	0.0	0.0	1.0	0.0
SRR6388705	0.0	0.0	0.0	1.0	0.0
SRR6046648	0.0	0.0	0.0	1.0	0.0
ERR5413711	0.0	0.0	0.0	1.0	0.0
ERR5412377	0.0	0.0	0.0	1.0	0.0
ERR5414198	0.0	0.0	0.0	1.0	0.0
