node	Brazil	China	Germany	Japan	Netherlands	Norway	Taiwan	UK
ERR490696	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0
ERR337862	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0
ERR337896	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0
n1212	5.766668555667738e-16	5.766670951831595e-16	5.766670427022326e-16	5.766673417752313e-16	5.766673934273646e-16	1.1338427557722063e-15	5.7666710066394625e-16	0.9999999999999953
ERR330808	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0
n15	5.405706730599125e-16	5.405708976775205e-16	5.405708484816338e-16	5.405711288341617e-16	5.40571177254384e-16	1.0628704176685433e-15	5.405709028156159e-16	0.9999999999999957
ERR363295	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0
ERR363294	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0
n13	5.40579179387085e-16	5.405794040087361e-16	5.405793548119824e-16	5.405796351695675e-16	5.405796835847366e-16	1.062887142814917e-15	5.40579409145117e-16	0.9999999999999957
ERR330809	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0
ERR490682	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0
n1313	5.40570636068164e-16	5.405708606862652e-16	5.405708114902889e-16	5.405710918434432e-16	5.405711402578472e-16	1.0628703449355601e-15	5.405708658225649e-16	0.9999999999999957
ERR330810	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0
ERR494928	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0
ERR363296	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0
