node	Australia	China	Germany	Ireland	Japan	Norway	Singapore	Spain	UK	USA
DRR317415	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0
Node_24	0.0029826399214299294	0.0016774592706324685	0.8306385516818429	0.006959237986184626	0.04017197210801161	0.007712358875268579	0.0024922170575899564	0.009660973973627945	0.09503025316430226	0.0026743359611099177
Node_26	0.09169202070021476	0.02076785849716825	0.4652875028971642	0.023008758251228927	0.11863535647902819	0.023334799856135745	0.02111350592347127	0.024154651883825564	0.1326914399107267	0.07931410560103644
ERR5384818	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0
ERR4020106	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0
ERR4020110	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0
ERR7253680	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ERR4298306	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
SRR14719225	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0
Node_16	0.007580602906260813	0.007098798264763062	0.34373766063398703	0.009052438518639138	0.04767099915868249	0.009327421522493422	0.026809577484999368	0.010051644737878968	0.5312041893156947	0.007466667456600935
ERR7253787	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ERR7253788	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ERR7253786	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Node_23	0.012120409182494239	0.01136101121658255	0.5417633949161201	0.014434161785322855	0.11835903827228687	0.014872226979689502	0.011835054534051094	0.016005947645043737	0.24730783428076886	0.011940921187640176
SRR25635768	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0
SRR25361533	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ERR494839	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0
Node_15	0.007581890221956714	0.007100126966424696	0.34371904836073547	0.009053599413231715	0.04767672381194851	0.009328558773175719	0.02680921294124929	0.010052719770174204	0.5312101552018591	0.007467964539244647
DRR317614	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0
ERR369155	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0
Node_13	3.369906056625158e-11	3.367032872630666e-11	2.0768650699720763e-10	3.3786940777535415e-11	1.712581133621575e-10	3.3802936500307835e-11	3.484348386988519e-11	3.3845966965101447e-11	0.9999999993837149	3.369192556973926e-11
Node_14	2.968516394868025e-11	2.960338117481425e-11	2.1823640577834084e-10	2.993509031657711e-11	1.5194620535697367e-10	2.9981422796786594e-11	3.2947198238435734e-11	3.0104219615714006e-11	0.9999999994178953	2.966553332632717e-11
ERR343190	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0
ERR374052	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0
ERR115007	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0
ERR115034	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0
