node	Australia	Brazil	Canada	China	Germany	Ireland	Japan	Netherlands	Norway	Singapore	Taiwan	Thailand	UK	USA
Node_27	1.521325038315393e-14	5.290570122604469e-15	1.0658500628898915e-14	2.2345933707768296e-14	9.280687440760613e-14	5.264858913571487e-15	4.330467154042166e-14	1.0504329847201135e-14	1.5762491647759135e-14	1.971649865896871e-14	2.7651259586272085e-13	6.059962406412436e-15	0.9999999999994422	3.432572459444901e-14
Node_58	0.001713463932126706	0.0005958753623741988	0.0012004638020935944	0.2958545383677337	0.002643477311529427	0.0005929795162928037	0.0048773928653198986	0.0011830996974546127	0.0017753260759093578	0.002220663499232374	0.5942415515613471	0.000682531947204889	0.012806603332907243	0.07961203272847406
Node_63	2.5716076252787348e-05	8.943039769698137e-06	1.8016847492844025e-05	0.0052299202394431345	0.0014750819243689213	8.899577810227718e-06	7.320208624873909e-05	1.775654398461654e-05	2.6644508985752896e-05	3.332834454613307e-05	0.9869207197749252	1.0244052504221808e-05	0.0003487720052946272	0.005802754978373135
SRR30933962	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0
SRR30933961	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0
Node_86	6.941951418405772e-06	2.4141370037135604e-06	4.863574330044938e-06	1.0188507323367091e-05	7.191710927025478e-06	2.4024019540431e-06	0.9998680114294078	4.795270738675002e-06	7.192565150344788e-06	8.997478228733492e-06	7.264888111254349e-06	2.7682738615483863e-06	5.1311957134495213e-05	1.5655854410612358e-05
Node_101	7.02900907257667e-05	2.444412827400391e-05	4.9245686345916184e-05	0.00010316283151010454	7.281909321159606e-05	2.4325331469205628e-05	0.9986689446233288	4.8535415676423934e-05	7.282775102124176e-05	9.109719266188764e-05	6.534740323610038e-05	2.800202550727065e-05	0.0005195547519811363	0.00016140367505054667
Node_109	6.66383478704276e-09	2.317326483512334e-09	4.6685447549540186e-09	9.779748711117099e-09	6.906034442077876e-09	2.3056730746737365e-09	2.2675194849177607e-08	6.802134526500746e-09	6.902968213901657e-09	8.728091307984218e-09	0.9999998548882553	3.0844028686167944e-09	4.9252460202267654e-08	1.5025330486168665e-08
Node_110	7.967847381667441e-09	2.7708098921078154e-09	5.58214261685357e-09	1.16936066971528e-08	8.25698803775621e-09	2.756948924339651e-09	2.6422212721490503e-08	7.723381245050173e-09	8.25404560055917e-09	1.0418971681405643e-08	0.9999998276881303	3.6079115140382305e-09	5.8891136611309784e-08	1.7965866871986247e-08
DRR317528	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0
