node	Australia	Canada	China	Germany	Japan	Singapore	Spain	Taiwan	UK	USA
n11	2.3715728853618107e-14	1.2101974848117287e-14	2.3209061555051796e-14	1.1612214358164153e-14	3.4552510697810704e-14	2.413993640807112e-14	1.161170270114187e-14	1.1614398663180481e-14	0.9999999999997954	5.20941510056747e-14
n2	2.3715728853618107e-14	1.2101974848117287e-14	2.3209061555051796e-14	1.1612214358164153e-14	3.4552510697810704e-14	2.413993640807112e-14	1.161170270114187e-14	1.1614398663180481e-14	0.9999999999997954	5.20941510056747e-14
n3	0.03572717211737674	0.027686729887690453	0.02085148766782214	0.009486954778343966	0.03170444601022596	0.03863708988615727	0.00918086837946763	0.061176405519533	0.70636218335064	0.05918666240274281
SRR29408725	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
n1919	0.002084060244283077	0.0010622078604582501	0.41915637585413024	0.0010215857248335846	0.00306943546365863	0.002285207367797596	0.02375679594811722	0.0010199725932756312	0.5419223973500038	0.004621961593442
n2222	0.002084608163858082	0.0010624872891646403	0.41921165662229776	0.0010218541624522277	0.00307023806015155	0.0022857863690364574	0.02372099984116713	0.001020240816318774	0.541898957779949	0.0046231708956043826
n2727	2.4350442562014834e-14	1.2275306731236808e-14	2.357880382604603e-14	1.205924329955843e-14	3.9182736872973404e-14	4.302864088503897e-14	1.1765909415524503e-14	1.1807757061175719e-14	0.9999999999997635	5.841145771000869e-14
n2828	2.260515252765059e-14	1.1395487935928926e-14	2.1888819665903327e-14	1.1194911113953336e-14	3.637436578354615e-14	3.994464503161431e-14	1.0922601075977755e-14	1.0961449414488099e-14	0.9999999999997805	5.4224892292227317e-14
n2929	0.010666912691339793	0.0027329733763612734	0.005922868680897203	0.0076758215455564605	0.08243164472546761	0.34028374917342036	0.0023877929048164194	0.00314226016366789	0.4325411650230001	0.11221481171547289
n50	0.010670651441343102	0.0027362173757456173	0.005929458591529002	0.007676390353908458	0.08241361809212998	0.34013829081705255	0.0023907787974693996	0.003145654137885109	0.43249853797613397	0.11240040241680303
SRR6388701	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0
ERR5413748	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0
SRR6388693	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0
ERR5412229	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0
n33	0.030758511891583462	0.02213860790402945	0.020484986316426482	0.0096051199961472	0.030947661419951783	0.032850755824238326	0.009396504654824743	0.044825852598861224	0.744574150160878	0.05441784923305946
n44	0.05421205485929232	0.055759800343215225	0.0065453761634822125	0.0031637566063006466	0.009822083642074498	0.008798556529613191	0.0031277161461639104	0.15376282542936565	0.6576719769034934	0.04713585337699886
n20	2.9149924784232845e-06	1.4871971893868224e-06	9.126188969287953e-05	1.427574253425115e-06	4.253696160137076e-06	2.999828071964828e-06	6.246357813792578e-06	1.4272065682563096e-06	0.9998815692661912	6.4119915805050046e-06
n2121	1.3537296495536517e-11	6.907621975817482e-12	7.494643962698713e-11	6.6287551106528586e-12	1.9726396030291522e-11	1.3792778791531242e-11	0.9999999996284299	6.62837862587054e-12	1.996623037840302e-10	2.97402445138373e-11
n23	0.0007312864066703364	0.00037313845133935886	0.00811064277650818	0.0003580970419225113	0.0010659468502317916	0.0007467001288498687	0.0007604691512529851	0.00035806120646270285	0.9858886532094382	0.001607004777324047
n2323	1.840126445433278e-07	9.389617289671181e-08	7.578879126942209e-07	9.010405417707018e-08	2.681203125431314e-07	1.8738186284898745e-07	1.2154272656435016e-07	9.009993186442057e-08	0.9999978027226737	4.042317082195654e-07
n28	1.9282133407983912e-11	9.839268521277927e-12	1.8869233349303918e-11	9.441581259098116e-12	2.809095220141713e-11	1.9612456546205527e-11	9.441408764161645e-12	9.441362292828064e-12	0.9999999998336295	4.23521257747182e-11
ERR363310	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0
ERR494834	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0
ERR459984	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0
n30	0.010669241707100062	0.002733038203026576	0.0059227664739591075	0.007678072560798669	0.08245693510556419	0.34031839702805167	0.0023879330890091716	0.0031421496404139613	0.4325097544252352	0.11218171176684143
n48	0.010667660192979067	0.0027338343695383514	0.005924399218517585	0.007675753552685927	0.08242089719520539	0.34027479421744644	0.002388660607977013	0.0031429943570767953	0.43257026337749327	0.11220074291108019
n5050	0.016795421472304995	0.006428334183344583	0.012867290509442788	0.010162479073067622	0.07734522843518088	0.2774699665145519	0.005982729364775696	0.006579637980252941	0.41750083930372206	0.16886807316335664
n56	0.02112307844599957	0.0098119514829443	0.019060268143445528	0.011217883760574204	0.0737098512292423	0.1389999756941142	0.009331402008742164	0.009600759873463654	0.3107629062439135	0.3963819231175605
n4	2.354596833640207e-10	1.3931323951505122e-10	2.0182166247531372e-10	9.906705027939291e-11	3.017954610218703e-10	2.441390777665894e-10	9.844546510723592e-11	2.0381741354055726e-10	0.9999999979980543	4.780865315583384e-10
ERR5413888	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0
n5	4.860860441909294e-07	3.4972463677265585e-07	3.073669466840838e-07	1.5339365979612284e-07	4.57859882457152e-07	3.2667509083862677e-07	1.5326094730716854e-07	6.984281303289151e-07	0.9999962599017204	8.073029413192235e-07
n1111	0.054218877492664165	0.05576844650792187	0.0065434454265441205	0.00316284276205006	0.009819172771048445	0.008795613547713074	0.0031268192009382507	0.15378941761582393	0.6576382158478158	0.04713714882748035
n2020	3.1710480189018435e-07	1.6178340065183527e-07	9.924863599280192e-06	1.5529735699474891e-07	4.62734224738946e-07	3.263323824850078e-07	6.793420225998693e-07	1.552573700602123e-07	0.9999871197624945	6.975223467170461e-07
n21	1.2623187455260232e-06	6.441355011209815e-07	1.2356848172168904e-06	6.180992776470936e-07	1.8389770411238946e-06	1.2838580547232228e-06	6.181109283180368e-07	6.180861201540321e-07	0.9999891081401875	2.7725893267210452e-06
ERR11194149	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0
ERR11194148	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0
ERR5412117	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0
ERR494901	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0
n24	1.3838670681153586e-08	7.06146175248992e-09	5.693057185915131e-08	6.776275093260876e-09	2.0163982434038984e-08	1.4092026384779807e-08	9.13700812363694e-09	6.7759653280297995e-09	0.9999998348238005	3.0400237984598715e-08
ERR1081305	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0
ERR490697	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0
ERR330824	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0
n3030	0.010676355800762488	0.0027344513907731913	0.005925335567216107	0.007683758638803731	0.08251221561568402	0.34025190753716844	0.002389337685514032	0.0031433981314444677	0.432516227837909	0.11216701179472441
n47	0.0024831255028587972	0.001068109628797706	0.002098378749310855	0.0013959586118502119	0.0085282619761448	0.7906208606394716	0.0010077030548413647	0.0010630504834524199	0.17976738966320951	0.011967161690062695
n4848	0.013339620348884666	0.004372336562675156	0.008997444003473	0.00873515851270638	0.07952452744967144	0.3438108322564189	0.003984725675029856	0.004662477827339401	0.4235143636540314	0.10905851370976993
