node	Australia	Canada	China	Czech Republic	Denmark	Germany	Ireland	Japan	Netherlands	Singapore	South Korea	Spain	Taiwan	UK	USA
n59	2.0030422587076064e-14	1.0207972710364022e-14	2.3723738687898556e-14	3.338186235607337e-15	3.3382050443972665e-15	1.6914818525424376e-14	3.3486053952915403e-15	8.700961413856421e-15	1.0167040429975614e-14	2.809578002672669e-14	6.6770808809098965e-15	6.846574314578849e-15	1.607379605733417e-14	0.999999999999815	2.749079579190579e-14
ERR2759452	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0
n6060	5.100938083225168e-10	2.6003146868958137e-10	6.205770594362078e-10	8.501002172786233e-11	8.509652459921356e-11	4.3043614865863816e-10	8.544886847638339e-11	2.23975213304308e-10	2.618662010688063e-10	7.606540247421951e-10	1.6991973869596597e-10	1.7459857169785372e-10	4.3788010022534356e-10	0.9999999951889706	7.054415932491215e-10
n6161	5.491986238804773e-10	2.7990868529230195e-10	6.557136900768331e-10	9.152711626115054e-11	9.155512545343468e-11	4.6367335140308117e-10	9.186824636060913e-11	2.393309812719094e-10	2.7910806206976355e-10	7.847732760699721e-10	1.830358324185514e-10	1.877989042591657e-10	4.498381942415612e-10	0.9999999948972073	7.554626083276408e-10
SRR14719138	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0
n64	0.008205698911776142	0.004205979148327196	0.014771394945899779	0.0013679746978833966	0.0013940751625252383	0.05629082381770886	0.0014256794127120462	0.004306371110950112	0.004275814255278984	0.025435738857169838	0.0296614531352466	0.002878660025507665	0.015414480524767129	0.8174491088152701	0.012916747178976883
SRR29760148	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0
DRR317512	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0
n6565	0.0011224129746787062	0.00057279529692603	0.0014940116198167623	0.0001870712162764931	0.00018792250460258078	0.0009447026585614487	0.00018939628700027813	0.0005117374673113511	0.0005703029041904581	0.002028137494397023	0.0003729856962434091	0.0003860579976215392	0.0022758986352831886	0.9875621867974025	0.001594380449688139
SRR14719167	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0
n69	8.725694497215362e-08	4.475066997594033e-08	1.5994536885280657e-07	1.4544347106961991e-08	1.4839242223319819e-08	7.260304751213182e-08	1.5212434396486084e-08	4.630040570540052e-08	4.4492160853377506e-08	0.9999983915625776	2.8681800876246112e-08	3.065279982011073e-08	1.6903089996307279e-07	7.417876779875016e-07	1.383396219250528e-07
DRR317567	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0
n71	5.2750883164455066e-08	2.6900296059412278e-08	6.592557272753317e-08	8.79139151242841e-09	8.809401880281844e-09	4.4479924457473205e-08	0.9999993496507698	2.3425889268222672e-08	2.678761326826728e-08	8.351753151893491e-08	1.7559671558956368e-08	1.8081135288732715e-08	5.3460402080468043e-08	1.4632928874282778e-07	7.353022871258832e-08
n7272	6.86650848530024e-07	5.480279521930697e-07	9.167580194029801e-07	1.1421438756534971e-07	1.1476244359423547e-07	5.767004895926565e-07	1.1570324696122843e-07	5.706241243807262e-07	3.4822188603721703e-07	1.3593621037474152e-06	2.2778349675842993e-07	2.3634944564257695e-07	1.198222497668587e-06	3.3607070183720687e-06	0.9999896259120395
n7575	0.011334056183688235	0.04709363999437589	0.03498589056820062	0.001843007000072422	0.0019570623227404722	0.008915381546587534	0.0020846716770350792	0.061723698213482565	0.005688547517167144	0.09846483645763641	0.0035469437472537856	0.004217054827935796	0.14402328531008432	0.4194588398791446	0.1546630847545953
n12	1.135443248271497e-06	5.785466543442608e-07	2.8466007605537954e-06	1.8919491524096248e-07	1.8919595662673608e-07	9.819130276724912e-07	1.8978538145386848e-07	4.931346694824841e-07	5.762267761934357e-07	1.593285845001286e-06	3.7843001416862767e-07	3.8803611369460466e-07	9.109896806909359e-07	0.9999878658512468	1.6833657097997474e-06
n1818	1.6427493950817993e-05	8.371632711407557e-06	0.0008696453221543557	2.7376709274895683e-06	2.7376859899798727e-06	1.3872506010809844e-05	2.746215024796124e-06	7.1357119341222e-06	8.338063895682674e-06	2.304324352782801e-05	5.4759233260012075e-06	5.6149246008227965e-06	1.3182117247602318e-05	0.9989174057807144	0.0001032657079837863
n20	7.705932433062402e-07	3.925080607139459e-07	2.2103645180936555e-06	1.2835702561535287e-07	1.2835773282027848e-07	6.50414222315094e-07	1.2875762171073356e-07	3.345613325777867e-07	3.909341594300371e-07	4.8739986027930465e-06	2.567413124436771e-07	2.632584584916104e-07	6.18050274434022e-07	0.999987794219176	1.0588842592523179e-06
n2020	3.1782835453934634e-06	1.6195232820492229e-06	3.3392623264955266e-05	5.296125536270771e-07	5.29615468363388e-07	2.6836037014561702e-06	5.31265442474714e-07	1.3804298552873432e-06	1.6130292612153662e-06	5.0550672678937215e-06	1.0593375938373152e-06	1.0862279073394546e-06	2.550129555982364e-06	0.9999404279299223	4.363321377808124e-06
n23	2.0032058553225852e-14	1.020886601554427e-14	2.3725629601341418e-14	3.3384554796877103e-15	3.3384738464485593e-15	1.6916213414302473e-14	3.3488745850875844e-15	8.701650837047945e-15	1.0167860140105328e-14	2.8098100223164676e-14	6.6776200364062075e-15	6.8471252714888745e-15	5.900969279106798e-14	0.999999999999772	2.7493578366053764e-14
n2323	5.730262043505366e-10	2.920281418207158e-10	6.786817698550394e-10	9.549811196034136e-11	9.549863734928914e-11	4.838958036960349e-10	9.579615543984762e-11	2.489148742106097e-10	2.908564909619457e-10	8.037540910573353e-10	1.9101650740884972e-10	1.9586528553470447e-10	3.4952677496020073e-05	0.9999650424912163	7.864556212309923e-10
n2424	1.4651963363258206e-06	1.2945930401786895e-06	7.158470533824163e-06	2.441825580656444e-07	2.44183901464584e-07	4.54979319076597e-06	2.449446361864074e-07	6.364593970668384e-07	7.437014254627481e-07	3.617456488021464e-05	4.884169796943359e-07	5.008149949747619e-07	1.1757663586045797e-06	0.9999384633222558	6.615589511353119e-06
n30	1.1557693046242714e-06	7.668164673348457e-06	1.699956836657373e-06	1.9261474700180653e-07	1.926158066974134e-07	1.1782244763036806e-06	1.932158852937657e-07	5.020484130160431e-07	5.866424819432296e-07	3.704153216143534e-06	3.852704047310676e-07	3.9505013919893094e-07	9.274629859219532e-07	0.9999201372976074	6.108151302177256e-05
n36	9.230069792959078e-09	4.703607265934075e-09	1.0931333641905675e-08	1.5381621875920878e-09	1.5381706498989955e-09	0.9999999024892933	1.5429626930977697e-09	4.009204366511984e-09	4.684746611532795e-09	1.2945805209059032e-08	3.0766510758136972e-09	3.1547490300020486e-09	7.406380943872771e-09	2.0081726857316337e-08	1.2667136306690295e-08
n3939	3.882450749580691e-12	1.8608776830684254e-12	4.3247407960922745e-12	6.08539683480132e-13	6.085430396755967e-13	0.9999999997731993	6.104389131256339e-13	1.5861528277039012e-12	1.8534158826424077e-12	5.121790381854859e-12	1.2172086076622546e-12	1.2481063611896895e-12	2.9301727006851993e-12	1.9593679603842904e-10	5.011471455770521e-12
n41	2.3791826977940377e-14	1.111196180183884e-14	2.5824573353427105e-14	3.633806645639798e-15	3.633826736605827e-15	1.8490175795096127e-14	3.645147719190945e-15	9.471483408094458e-15	1.1067404730313931e-14	3.05844541798434e-14	7.268384966176479e-15	7.452886632935217e-15	1.7497118427658548e-14	0.9999999999997965	2.99252795415054e-14
n4141	2.2182049037909765e-10	1.1058463824809435e-10	2.570022801410423e-10	3.616311888817684e-11	3.6163318083041596e-11	1.834290833912924e-10	3.627598213794192e-11	9.42588144690892e-11	1.101412128610567e-10	3.043657197773462e-10	7.233391838029357e-11	7.417004927392702e-11	1.7412855239535975e-10	0.9999999979913509	2.978120139806303e-10
n52	8.681442367815184e-09	2.958356626652923e-09	7.18327728867751e-09	9.669644242433009e-10	9.685984385853144e-10	5.247590709069316e-09	9.732673910730154e-10	2.565768024050058e-09	0.999999921717994	8.99348411961242e-09	1.9318935954734062e-09	9.132753116456484e-09	5.196476600076611e-09	1.541741278697698e-08	8.064720609230652e-09
ERR2524315	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0
ERR1869532	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ERR1869531	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ERR3198394	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0
n56	9.258850037601883e-12	2.404921604813834e-12	6.074783200946064e-12	7.857101551759357e-13	7.882829955273232e-13	4.529488853939427e-12	7.933430947833456e-13	2.1195195330475113e-12	8.1997167629149e-12	7.961409465875892e-12	1.5680536228007849e-12	0.999999999929393	4.635590119285356e-12	1.485661794861241e-11	6.6306381715134594e-12
ERR330825	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0
ERR363311	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0
ERR343181	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0
ERR374043	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0
ERR5413159	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0
ERR5412208	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0
ERR5412562	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0
