node	Canada	China	Czech Republic	Denmark	Germany	Ireland	Singapore	Switzerland	Taiwan	UK	USA
ERR494836	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0
Node_173	0.00016047030991303652	0.00010589399921038476	0.9936095073896695	5.2943570036492785e-05	0.00010748890031180846	5.308781242031559e-05	5.294361750632229e-05	5.294355804677434e-05	5.294356127032966e-05	0.005439837206593763	0.0003119400750211756
Node_226	3.62290243906747e-08	2.2406548494450032e-08	2.399142337256507e-08	1.1202548570083851e-08	2.2744020223077937e-08	1.1233069427083294e-08	1.1202558614427019e-08	1.1202546033129732e-08	1.1202546715215202e-08	0.9999994055875001	4.329982140501104e-07
ERR5413127	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0
Node_34	7.366138195435585e-12	4.8608981486836186e-12	4.940985861979301e-12	2.4302916453639676e-12	4.934109585269282e-12	2.4369128660107334e-12	2.4302938243921284e-12	2.430291094994725e-12	2.4302912429670015e-12	0.9999999999514206	1.431912042644886e-11
ERR5412991	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0
ERR5412919	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0
Node_41	2.7833502045668694e-08	1.8367265855670275e-08	1.8669883247946327e-08	9.18303807071187e-09	1.864390072402451e-08	9.208056846293693e-09	9.183046304332104e-09	9.183035991100675e-09	9.183036550224875e-09	0.9999998164393707	5.4105863494212246e-08
Node_45	5.113801685188271e-14	3.374586314396036e-14	3.4301856898555015e-14	1.687183865117049e-14	3.425411965212471e-14	1.6917805219273045e-14	1.6871853778659936e-14	1.6871834830336305e-14	1.6871835857605762e-14	0.9999999999996628	9.940777680842561e-14
Node_49	4.159384881539573e-12	2.744768796608596e-12	2.7899913562512526e-12	1.3722955040027122e-12	2.786108577971766e-12	1.3760342615884005e-12	1.3722967344190396e-12	1.3722951932296137e-12	1.3722952767840672e-12	0.999999999972569	8.085475922189642e-12
Node_52	4.809358816130106e-14	3.173685144838593e-14	3.2259744910038544e-14	1.5867397868860477e-14	3.22148496322959e-14	1.591062788307702e-14	1.5867412095756473e-14	1.586739427549419e-14	1.5867395241606627e-14	0.9999999999996828	9.348967699905912e-14
ERR5413135	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0
Node_72	2.4621851353254244e-15	1.6247904734445383e-15	1.6515603726735564e-15	8.123426149442387e-16	1.6492619272938209e-15	8.145558059843184e-16	8.123433433002042e-16	8.123424309793194e-16	8.123424804401266e-16	0.9999999999999839	4.786269891974543e-15
Node_75	7.336364927969517e-11	4.84125083595797e-11	4.9210148419262257e-11	2.4204686253149196e-11	4.914166358507688e-11	2.4270630835838915e-11	2.420470795535625e-11	2.4204680771702195e-11	2.420468224544386e-11	0.9999999995161702	1.426124383073155e-10
ERR5412222	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0
ERR5412970	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0
Node_79	3.7243578659410876e-13	2.457695440306326e-13	2.49818820558771e-13	1.2287681232414135e-13	2.4947115242420874e-13	1.2321158469120228e-13	1.2287692249693992e-13	1.2287678449718455e-13	1.2287679197873998e-13	0.9999999999975439	7.239821922788262e-13
Node_104	2.4704287523174122e-15	1.630230417891907e-15	1.6570899451480758e-15	8.150624109854836e-16	1.6547838043667572e-15	8.172830119879593e-16	8.150631417800504e-16	8.150622264046334e-16	8.150622760310397e-16	0.9999999999999839	4.80229475348623e-15
ERR5412739	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0
Node_156	7.2488030595753795e-12	4.78346895450534e-12	4.8622809514798026e-12	2.3915795559593382e-12	4.855514206907327e-12	2.398095307253822e-12	2.3915817002777634e-12	2.3915790143569014e-12	2.3915791599721293e-12	0.9999999999521945	1.4091031311629223e-11
Node_157	4.795095627723991e-13	3.1642728986550264e-13	3.216407169513059e-13	1.5820339686268798e-13	3.2119309563994274e-13	1.5863441492576316e-13	1.5820353870971875e-13	1.582033610355941e-13	1.5820337066806637e-13	0.9999999999968376	9.321241324560572e-13
ERR5412882	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0
ERR5413896	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0
Node_169	4.134651774347002e-11	2.7284474743922686e-11	2.7734040971926786e-11	1.3641353714900867e-11	2.7695414354544704e-11	1.3678518971606224e-11	1.3641365945899432e-11	1.36413506256495e-11	1.3641351456225604e-11	0.9999999997273217	8.03739695177874e-11
Node_170	2.5240825129113804e-15	1.6656364145590816e-15	1.6933193505658418e-15	8.327642626315893e-16	1.6907230613167051e-15	8.350330915420736e-16	8.327650092978586e-16	8.32764074041945e-16	8.327641247461576e-16	0.9999999999999835	4.906592914139918e-15
SRR28858253	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
SRR28858251	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Node_178	1.0745188989376953e-06	7.075720041672008e-07	7.204453710412156e-07	3.5376308608400755e-07	7.182289571468903e-07	3.547268977697321e-07	3.53763403272167e-07	3.5376300597003347e-07	3.5376302750947394e-07	0.9999816524871376	1.3356968210539436e-05
Node_225	2.3766223941099156e-09	6.241469908687818e-11	6.681819162110518e-11	3.120532812901657e-11	6.335474553775097e-11	3.129034568996449e-11	3.1205356108098505e-11	3.12053210621884e-11	3.1205322962175786e-11	0.9999999856718583	1.1602819838783682e-08
ERR5412575	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0
Node_33	2.6267710447150284e-15	1.7334003475773745e-15	1.7619596931586036e-15	8.666440344834544e-16	1.7595076071295203e-15	8.690051673069355e-16	8.666448115267129e-16	8.666438382213146e-16	8.666438909883524e-16	0.9999999999999828	5.106210326774787e-15
ERR5412887	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0
Node_40	1.8689990747959405e-11	1.233348316516312e-11	1.2536688505710361e-11	6.166342140423284e-12	1.251924143308141e-11	6.183142063170397e-12	6.166347669238345e-12	6.1663407439796985e-12	6.166341119427513e-12	0.9999999998767404	3.633168713221789e-11
Node_43	1.6699020849394972e-09	1.101964657436802e-09	1.1201205263415331e-09	5.509466395999893e-10	1.1185616757593206e-09	5.524476690226695e-10	5.509471335852417e-10	5.509465148313874e-10	5.509465483766692e-10	0.9999999889870749	3.246141793734406e-09
Node_44	2.463218033437731e-15	1.6254720806026828e-15	1.6522532099288954e-15	8.126833964482304e-16	1.6499538003406363e-15	8.148975159322417e-16	8.126841251097447e-16	8.12683212406137e-16	8.126832618876932e-16	0.9999999999999839	4.788277754448198e-15
ERR5412096	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0
Node_48	2.4528257917740367e-05	1.6186142635317207e-05	1.6452824040911154e-05	8.092547100155547e-06	1.6429926956416988e-05	8.114594881970788e-06	8.092554356028716e-06	8.092545267499358e-06	8.092545760227243e-06	0.9998382372995154	4.768076156821994e-05
Node_51	6.804379037176411e-11	4.490194534396266e-11	4.564174568849355e-11	2.2449518441272856e-11	4.5578226932996306e-11	2.251068114793683e-11	2.244953856977594e-11	2.2449513357305054e-11	2.2449514724180656e-11	0.9999999995512544	1.32271103630539e-10
ERR5413929	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0
ERR5413592	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0
Node_71	2.46224016898584e-15	1.624826790034172e-15	1.6515972876119993e-15	8.123607720628771e-16	1.649298790858441e-15	8.145740125712127e-16	8.123615004351225e-16	8.12360588093846e-16	8.123606375557586e-16	0.9999999999999839	4.7863768725375045e-15
ERR5412371	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0
ERR5414293	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0
Node_78	2.4704544323933556e-15	1.630247364116686e-15	1.657107170577304e-15	8.150708835490389e-16	1.654801005823681e-15	8.172915076346341e-16	8.150716143512023e-16	8.150706989662698e-16	8.15070748593192e-16	0.9999999999999839	4.802344673280053e-15
ERR5412351	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0
ERR5414334	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0
ERR5412891	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0
ERR5413097	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0
ERR5412808	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0
ERR5413712	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0
ERR5411952	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0
ERR490688	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0
ERR490701	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0
ERR490675	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0
ERR490683	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0
Node_177	1.309124098798453e-07	8.638879114816502e-08	8.781213780091427e-08	4.3191597716840616e-08	8.768991849364721e-08	4.330927128869981e-08	4.319163644293633e-08	4.3191587935575476e-08	4.3191590565366106e-08	0.9999991365199711	2.5460108772542796e-07
SRR30795495	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0
Node_189	3.131892069797226e-07	8.153426153028491e-09	8.291105852789284e-09	4.076449013060734e-09	8.276227335807006e-09	4.087555115707448e-09	4.076452668052978e-09	4.076448089899004e-09	4.076448338100262e-09	0.999999606362931	3.533374950964386e-08
Node_224	2.4522347354537516e-10	1.4037319209148118e-11	1.459982270115814e-11	7.0182049804556945e-12	1.4248739465246782e-11	7.037325769571983e-12	7.018211273062627e-12	7.018203391097351e-12	7.018203818412226e-12	0.9999999869991141	1.2677666571429735e-08
ERR5413796	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0
Node_32	2.462133780251395e-15	1.6247565843458476e-15	1.6515259252211755e-15	8.123256714924465e-16	1.6492275277813088e-15	8.14538816370858e-16	8.12326399833227e-16	8.123254875313709e-16	8.123255369911464e-16	0.9999999999999839	4.786170062257801e-15
ERR5412568	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0
Node_39	2.879806705345189e-15	1.9003780150708025e-15	1.9316884694290417e-15	9.50127460356408e-16	1.9290001750674736e-15	9.527160400314325e-16	9.501283122518981e-16	9.501272451884333e-16	9.501273030384958e-16	0.9999999999999812	5.5980892463142615e-15
ERR5412786	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0
Node_42	5.1668384966753815e-08	3.4095851878803166e-08	3.465761201578123e-08	1.7046821683573667e-08	3.460937967167312e-08	1.7093264985104226e-08	1.704683696795503e-08	1.7046817823112573e-08	1.7046818861036022e-08	0.9999996592494457	1.0043876546295479e-07
ERR5412310	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0
ERR5412397	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0
ERR5414104	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0
ERR5413658	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0
