Type,time,mean,median,upper,lower,rate,year
eDCC9,63146.485,1.70E+07,3580908.31,1.02E+08,518446.127,0.000127427,2011.95345
eDCC9,66303.8092,1.58E+07,2450301,9.95E+07,498390.404,0.000127427,2011.551122
eDCC9,69461.1335,1.46E+07,2089914.15,9.39E+07,519152.056,0.000127427,2011.148795
eDCC9,72618.4577,1.31E+07,1892043.35,8.47E+07,535423.302,0.000127427,2010.746467
eDCC9,75775.782,1.19E+07,1785896.19,8.43E+07,549366.467,0.000127427,2010.34414
eDCC9,78933.1062,1.09E+07,1714944.57,7.88E+07,558836.131,0.000127427,2009.941812
eDCC9,82090.4305,9880977.21,1662900.24,6.85E+07,599760.958,0.000127427,2009.539485
eDCC9,85247.7547,8647320.28,1652476.41,6.17E+07,603230.328,0.000127427,2009.137157
eDCC9,88405.079,7409979.85,1635151.98,5.54E+07,622880.537,0.000127427,2008.73483
eDCC9,91562.4032,6734341.05,1630446.7,5.17E+07,639098.427,0.000127427,2008.332502
eDCC9,94719.7275,6090773.3,1611718.97,4.66E+07,640073.386,0.000127427,2007.930175
eDCC9,97877.0517,5717462.77,1615735.79,4.37E+07,637350.486,0.000127427,2007.527847
eDCC9,101034.376,4891278.18,1620727.84,3.69E+07,627796.555,0.000127427,2007.12552
eDCC9,104191.7,4476213.97,1619725.55,3.25E+07,583282.216,0.000127427,2006.723192
eDCC9,107349.024,4085925.98,1615500.65,3.06E+07,554297.841,0.000127427,2006.320865
eDCC9,110506.349,3611163.12,1576775.11,2.62E+07,456288.314,0.000127427,2005.918537
eDCC9,113663.673,3302814.85,1563936.22,2.03E+07,314348.442,0.000127427,2005.51621
eDCC9,116820.997,2889593.56,1548184.7,1.56E+07,244335.58,0.000127427,2005.113882
eDCC9,119978.321,2529133.05,1537353.08,1.12E+07,217769.544,0.000127427,2004.711555
eDCC9,123135.646,2328341.97,1522196.15,7910613.43,192953.744,0.000127427,2004.309227
eDCC9,126292.97,2147856,1509030.82,7047164.43,169374.565,0.000127427,2003.9069
eDCC9,129450.294,1985671.48,1469844.65,6431393.89,153584.327,0.000127427,2003.504572
eDCC9,132607.618,1841782.13,1452966.63,5167739.78,150826.577,0.000127427,2003.102245
eDCC9,135764.943,1789607.94,1418377.15,5148420.35,145457.283,0.000127427,2002.699917
eDCC9,138922.267,1651888.05,1386459.46,4970656.1,135162.752,0.000127427,2002.29759
eDCC9,142079.591,1587350.67,1353444.41,4811781.7,130200.108,0.000127427,2001.895262
eDCC9,145236.915,1536224.61,1305312.24,4820807.73,127301.818,0.000127427,2001.492935
eDCC9,148394.24,1479846.73,1241155.88,4621896.78,122355.307,0.000127427,2001.090607
eDCC9,151551.564,1444122.24,1181815.25,4564841.86,115020.412,0.000127427,2000.68828
eDCC9,154708.888,1420103.79,1131013.6,4594954.96,114871.041,0.000127427,2000.285952
eDCC9,157866.212,1392281.18,1049443.23,4584035.99,110053.453,0.000127427,1999.883625
eDCC9,161023.537,1351617,926625.051,4716875.71,109213.244,0.000127427,1999.481297
eDCC9,164180.861,1317087.58,821880.425,4693190.92,105820.751,0.000127427,1999.07897
eDCC9,167338.185,1281068.77,695313.284,4693623.68,105175.787,0.000127427,1998.676642
eDCC9,170495.509,1265756.85,603964.361,4649425.83,102070.383,0.000127427,1998.274315
eDCC9,173652.834,1253033.11,549715.129,4799953.95,97704.7175,0.000127427,1997.871987
eDCC9,176810.158,1215593.51,507684.507,4819351.3,97704.7175,0.000127427,1997.46966
eDCC9,179967.482,1193315.1,475120.143,4819351.3,98002.377,0.000127427,1997.067332
eDCC9,183124.806,1161393.22,451866.616,4710707.46,98002.377,0.000127427,1996.665005
eDCC9,186282.131,1129026.97,428877.298,4594954.96,96341.5046,0.000127427,1996.262677
eDCC9,189439.455,1111991.88,406092.645,4729758.44,96869.6586,0.000127427,1995.86035
eDCC9,192596.779,1093377.47,390406.086,4729758.44,97980.0602,0.000127427,1995.458022
eDCC9,195754.103,1072441.64,379783.754,4594954.96,97287.5485,0.000127427,1995.055695
eDCC9,198911.428,1055092.83,369180.947,4611408.2,97114.9623,0.000127427,1994.653367
eDCC9,202068.752,1028912.8,362560.183,4584035.99,96869.6586,0.000127427,1994.251039
eDCC9,205226.076,1000339.28,353523.512,4572222.71,97114.9623,0.000127427,1993.848712
eDCC9,208383.4,968221.867,344639.53,4547764.11,96341.5046,0.000127427,1993.446385
eDCC9,211540.725,944880.138,339488.51,4469489.8,96331.5716,0.000127427,1993.044057
eDCC9,214698.049,933703.309,332447.269,4552038.07,95641.322,0.000127427,1992.641729
eDCC9,217855.373,903978.738,327365.081,4437211.4,96331.5716,0.000127427,1992.239402
eDCC9,221012.697,881669.371,322890.973,4397504.3,96402.9629,0.000127427,1991.837075
eDCC9,224170.022,862159.746,319162.795,4352493.63,96869.6586,0.000127427,1991.434747
eDCC9,227327.346,836730.018,312246.145,4339924.93,96331.5716,0.000127427,1991.032419
eDCC9,230484.67,817806.46,307960.397,4270904.84,96261.2004,0.000127427,1990.630092
eDCC9,233641.994,786581.389,302446.726,4213109.99,95194.5754,0.000127427,1990.227764
eDCC9,236799.319,765562.003,299524.445,4156848.14,94553.8341,0.000127427,1989.825437
eDCC9,239956.643,742243.282,297606.809,4123705.38,94488.8072,0.000127427,1989.423109
eDCC9,243113.967,725988.905,295452.777,4105205.53,94488.8072,0.000127427,1989.020782
eDCC9,246271.291,709821.223,293442.75,4048865.27,94149.6404,0.000127427,1988.618454
eDCC9,249428.616,691256.36,291728.625,3981261.05,92678.8224,0.000127427,1988.216127
eDCC9,252585.94,673020.383,289691.863,3956597.22,89950.242,0.000127427,1987.813799
eDCC9,255743.264,654773.41,288218.789,3774984.98,88694.6464,0.000127427,1987.411472
eDCC9,258900.588,621969.516,286504.331,3687249.54,88513.6307,0.000127427,1987.009144
eDCC9,262057.913,606900.575,285189.393,3622731.83,84476.8186,0.000127427,1986.606817
eDCC9,265215.237,587667.39,284833.161,3535479.48,82217.4695,0.000127427,1986.204489
eDCC9,268372.561,571841.818,284613.177,3365843.87,80881.6754,0.000127427,1985.802162
eDCC9,271529.885,558444.278,282153.944,3231041.86,80460.3276,0.000127427,1985.399834
eDCC9,274687.21,540696.575,279794.475,3130829.73,78806.9178,0.000127427,1984.997507
eDCC9,277844.534,520464.856,278756.17,3025891.62,76705.5799,0.000127427,1984.595179
eDCC9,281001.858,498099.904,277995.08,2865890.52,73430.1052,0.000127427,1984.192852
eDCC9,284159.182,480693.707,276043.338,2623789,67332.4722,0.000127427,1983.790524
eDCC9,287316.507,468963.459,275623.359,2619217.61,63999.8375,0.000127427,1983.388197
eDCC9,290473.831,452026.346,274687.249,2479495.6,63722.3154,0.000127427,1982.985869
eDCC9,293631.155,436619.969,274574.376,2372214.42,61604.5684,0.000127427,1982.583542
eDCC9,296788.479,419493.261,272354.804,2005545.48,59988.1894,0.000127427,1982.181214
eDCC9,299945.804,412811.028,271841.73,1926690.79,57432.4844,0.000127427,1981.778887
eDCC9,303103.128,405656.967,269523.833,1840523.07,55495.0793,0.000127427,1981.376559
eDCC9,306260.452,396068.477,269028.224,1765857.01,54512.3904,0.000127427,1980.974232
eDCC9,309417.776,379670.392,268228.941,1409798.04,53218.2243,0.000127427,1980.571904
eDCC9,312575.101,NaN,NaN,NaN,NaN,0.000127427,1980.169577
eDCC10,0,2396061.1,1787052.85,7896987.11,318865.405,6.09841E-05,2020
eDCC10,2471.16028,2558406.87,2049252.01,7223288.17,641761.367,6.09841E-05,2019.849298
eDCC10,4942.32056,2772405.76,2305959.77,7193828.42,826661.134,6.09841E-05,2019.698597
eDCC10,7413.48084,3012253.32,2537063.07,7570890.5,926863.396,6.09841E-05,2019.547895
eDCC10,9884.64111,3194936.06,2759085.81,7785668.4,1019214.39,6.09841E-05,2019.397194
eDCC10,12355.8014,3435386.82,3027551.73,8083389.31,1127883.04,6.09841E-05,2019.246492
eDCC10,14826.9617,3726898.81,3259729.96,8891621.76,1294605.3,6.09841E-05,2019.095791
eDCC10,17298.122,3981064.81,3503138.3,9542293.88,1369787.37,6.09841E-05,2018.945089
eDCC10,19769.2822,4279667.8,3732620.41,1.04E+07,1484893.75,6.09841E-05,2018.794387
eDCC10,22240.4425,4551368.7,3923509.71,1.09E+07,1611347.83,6.09841E-05,2018.643686
eDCC10,24711.6028,4800873.98,4131785.88,1.17E+07,1680129.33,6.09841E-05,2018.492984
eDCC10,27182.7631,5053517.95,4342299.54,1.24E+07,1774481.53,6.09841E-05,2018.342283
eDCC10,29653.9233,5300308.97,4533015.73,1.32E+07,1869866.12,6.09841E-05,2018.191581
eDCC10,32125.0836,5473346.98,4702217.54,1.36E+07,1962555.29,6.09841E-05,2018.040879
eDCC10,34596.2439,5637993.9,4848530.84,1.41E+07,2007050.08,6.09841E-05,2017.890178
eDCC10,37067.4042,5790234.63,4962048.77,1.48E+07,2043078.89,6.09841E-05,2017.739476
eDCC10,39538.5645,5874686.24,5031064.72,1.49E+07,2055395.24,6.09841E-05,2017.588775
eDCC10,42009.7247,5999839.85,5126112.42,1.52E+07,2044129.88,6.09841E-05,2017.438073
eDCC10,44480.885,6072363.91,5187596.98,1.55E+07,2051414.55,6.09841E-05,2017.287372
eDCC10,46952.0453,6137151.08,5240903.76,1.59E+07,2007050.08,6.09841E-05,2017.13667
eDCC10,49423.2056,6163223.01,5271443.5,1.61E+07,1925236.23,6.09841E-05,2016.985968
eDCC10,51894.3659,6199215.8,5279255.7,1.65E+07,1846634.32,6.09841E-05,2016.835267
eDCC10,54365.5261,6195996.77,5295495.55,1.65E+07,1594727.55,6.09841E-05,2016.684565
eDCC10,56836.6864,6153825.9,5278745.71,1.65E+07,1154197.07,6.09841E-05,2016.533864
eDCC10,59307.8467,6115099.81,5269721.79,1.65E+07,710588.125,6.09841E-05,2016.383162
eDCC10,61779.007,6014935.83,5197939.35,1.65E+07,510516.861,6.09841E-05,2016.232461
eDCC10,64250.1672,5916476.31,5136690.99,1.65E+07,450878.113,6.09841E-05,2016.081759
eDCC10,66721.3275,5801261.06,5077138.68,1.66E+07,336169.75,6.09841E-05,2015.931057
eDCC10,69192.4878,5663304.66,5010712.44,1.66E+07,288701.499,6.09841E-05,2015.780356
eDCC10,71663.6481,5496029.99,4855303.23,1.65E+07,277204.225,6.09841E-05,2015.629654
eDCC10,74134.8084,5309547.22,4712659.62,1.65E+07,240526.456,6.09841E-05,2015.478953
eDCC10,76605.9686,5143423.32,4451263.79,1.66E+07,238493.096,6.09841E-05,2015.328251
