Type,time,mean,median,upper,lower,year,rate
DCC2,193187.34,338669.548,195503.89,1476563.27,35968.9598,1941.4939,0.000406373
DCC2,195763.171,335490.789,189249.67,1446649.8,36231.9961,1940.4472,0.000406373
DCC2,198339.002,332312.03,182822.571,1412941.91,36231.9961,1939.4004,0.000406373
DCC2,200914.833,329133.271,175911.122,1378060.42,35769.9541,1938.3537,0.000406373
DCC2,203490.664,325954.512,171660.576,1339169.56,35769.9541,1937.307,0.000406373
DCC2,206066.496,322775.753,168145.138,1308286.52,35769.9541,1936.2602,0.000406373
DCC2,208642.327,319596.994,164850.034,1292250.77,35691.0038,1935.2135,0.000406373
DCC2,211218.158,316418.235,157758.794,1266696.74,35691.0038,1934.1667,0.000406373
DCC2,213793.989,313239.476,155463.783,1251511.44,35608.3575,1933.12,0.000406373
DCC2,216369.82,310060.717,153943.798,1234182.52,35684.9321,1932.0732,0.000406373
DCC2,218945.652,304881.958,152406.753,1212276.58,35228.298,1931.0265,0.000406373
DCC2,221521.483,299703.199,148984.529,1206350.85,35095.9877,1929.9797,0.000406373
DCC2,224097.314,294524.44,146035.265,1197071.56,34581.1763,1928.933,0.000406373
DCC2,226673.145,289345.681,144906.72,1154997.37,35095.9877,1927.8862,0.000406373
DCC2,229248.976,284166.922,143756.566,1154997.37,35098.8831,1926.8395,0.000406373
DCC2,231824.808,278988.163,142409.682,1140872.79,35228.298,1925.7927,0.000406373
DCC2,234400.639,273809.404,140207.107,1128866.85,35098.8831,1924.746,0.000406373
DCC2,236976.47,268630.645,139967.595,1103508.02,35098.8831,1923.6992,0.000406373
DCC2,239552.301,263451.886,138469.437,1103508.02,34581.1763,1922.6525,0.000406373
DCC2,242128.132,258273.127,137557.404,1103508.02,34581.1763,1921.6057,0.000406373
DCC2,244703.964,253094.368,137189.132,1075118.67,35228.298,1920.559,0.000406373
DCC2,247279.795,247915.609,135741.8,1063669.99,35228.298,1919.5122,0.000406373
DCC2,249855.626,242736.85,133738.479,1061730.37,35608.3575,1918.4655,0.000406373
DCC2,252431.457,237558.091,132846.849,1035047.79,35691.0038,1917.4187,0.000406373
DCC2,255007.288,NaN,NaN,NaN,NaN,1916.372,0.000406373
DCC3,0,6.80E+07,4.03E+07,2.79E+08,1.27E+07,2020,0.000542081
DCC3,2478.97191,6.80E+07,4.03E+07,2.79E+08,1.27E+07,2018.6562,0.000542081
DCC3,4957.94382,6.80E+07,4.03E+07,2.79E+08,1.27E+07,2017.3124,0.000542081
DCC3,7436.91573,6.80E+07,4.03E+07,2.79E+08,1.27E+07,2015.9686,0.000542081
DCC3,9915.88763,6.80E+07,4.03E+07,2.79E+08,1.27E+07,2014.6248,0.000542081
DCC3,12394.8595,6.80E+07,4.03E+07,2.79E+08,1.27E+07,2013.281,0.000542081
DCC3,14873.8315,6.79E+07,4.03E+07,2.79E+08,1.27E+07,2011.9372,0.000542081
DCC3,17352.8034,6.77E+07,4.01E+07,2.77E+08,1.27E+07,2010.5934,0.000542081
DCC3,19831.7753,6.71E+07,3.98E+07,2.77E+08,1.26E+07,2009.2496,0.000542081
DCC3,22310.7472,6.66E+07,3.96E+07,2.70E+08,1.24E+07,2007.9058,0.000542081
DCC3,24789.7191,6.58E+07,3.92E+07,2.69E+08,1.16E+07,2006.562,0.000542081
DCC3,27268.691,6.42E+07,3.86E+07,2.60E+08,1.04E+07,2005.2182,0.000542081
DCC3,29747.6629,6.23E+07,3.77E+07,2.47E+08,9098972.8,2003.8744,0.000542081
DCC3,32226.6348,6.07E+07,3.64E+07,2.44E+08,5223013.35,2002.5305,0.000542081
DCC3,34705.6067,5.65E+07,3.44E+07,2.23E+08,2895979.57,2001.1867,0.000542081
DCC3,37184.5786,5.05E+07,3.22E+07,2.10E+08,1930622.06,1999.8429,0.000542081
DCC3,39663.5505,4.69E+07,2.98E+07,1.94E+08,1329011.1,1998.4991,0.000542081
DCC3,42142.5224,4.31E+07,2.66E+07,1.81E+08,317690.251,1997.1553,0.000542081
DCC3,44621.4944,3.90E+07,2.28E+07,1.69E+08,120911.349,1995.8115,0.000542081
DCC3,47100.4663,3.61E+07,1.88E+07,1.63E+08,115776.643,1994.4677,0.000542081
DCC3,49579.4382,3.31E+07,1.34E+07,1.59E+08,120722.122,1993.1239,0.000542081
DCC3,52058.4101,3.03E+07,7998732.68,1.52E+08,142194.784,1991.7801,0.000542081
DCC3,54537.382,2.80E+07,5074102.47,1.50E+08,135955.492,1990.4363,0.000542081
DCC3,57016.3539,2.45E+07,3125142.23,1.40E+08,147408.863,1989.0925,0.000542081
DCC3,59495.3258,2.25E+07,1328494.31,1.38E+08,146123.729,1987.7487,0.000542081
DCC3,61974.2977,1.97E+07,722724.549,1.27E+08,149193.103,1986.4049,0.000542081
DCC3,64453.2696,1.73E+07,623431.782,1.21E+08,162843.924,1985.0611,0.000542081
DCC3,66932.2415,1.53E+07,594100.917,1.10E+08,178149.811,1983.7173,0.000542081
DCC3,69411.2134,1.38E+07,563300.793,1.06E+08,185355.356,1982.3735,0.000542081
DCC3,71890.1854,1.19E+07,537290.549,9.90E+07,188807.47,1981.0297,0.000542081
DCC3,74369.1573,1.05E+07,527404.665,9.44E+07,201474.989,1979.6859,0.000542081
DCC3,76848.1292,9426385.49,522158.578,8.73E+07,203450.691,1978.3421,0.000542081
DCC3,79327.1011,8379116.52,518481.763,8.06E+07,217800.448,1976.9983,0.000542081
DCC3,81806.073,7243174.74,511380.607,7.16E+07,219480.153,1975.6545,0.000542081
DCC3,84285.0449,6158391.87,507438.228,6.29E+07,208108.167,1974.3107,0.000542081
DCC3,86764.0168,5208092.64,508431.496,5.59E+07,211188.938,1972.9669,0.000542081
DCC3,89242.9887,4241883.46,508431.496,4.76E+07,206756.379,1971.6231,0.000542081
DCC3,91721.9606,3522479.01,504684.169,4.10E+07,207083.691,1970.2792,0.000542081
DCC3,94200.9325,3144959.14,502960.558,3.61E+07,202546.21,1968.9354,0.000542081
DCC3,96679.9044,2683938.34,498955.723,2.74E+07,188963.103,1967.5916,0.000542081
DCC3,99158.8763,2200500.11,496214.748,1.99E+07,181450.797,1966.2478,0.000542081
