node	Australia	Canada	China	Denmark	Germany	Netherlands	Norway	Singapore	Spain	Taiwan	Thailand	UK	USA
n1717	2.9806965471945063e-10	7.202190962685737e-11	3.260771299706e-10	7.382360971895448e-11	0.9999999973317716	7.202683318429448e-11	1.5698122612096313e-10	7.20348356703389e-11	1.5747563140528932e-10	7.242931290874688e-11	7.437845749369687e-11	7.679594393228226e-10	5.249505439269025e-10
SRR25404801	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0
SRR26031968	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0
SRR25404803	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0
SRR15713764	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0
n47	0.00029340823625882803	2.1623366620738003e-05	3.4940334470129044e-05	2.017816907374069e-05	4.615235733877121e-05	2.0150354025596353e-05	4.030313562910977e-05	2.015034268199917e-05	2.0186434413979445e-05	2.0150363667051434e-05	2.016623800137673e-05	0.000794757916725246	0.9986478327510934
n67	0.00022360004505251653	0.0019266264401285509	9.643131685373891e-05	5.570620827206331e-05	0.0001273741708613658	5.562947884089484e-05	0.00011126520196232154	5.562944723952247e-05	5.572742956515016e-05	5.562949120380146e-05	5.564300171895915e-05	0.0003245267979861767	0.996856210970315
n44	0.00039439968504442795	9.78679482005141e-05	0.00023655055368360678	0.006153916091043277	0.9760205878787505	0.0008666868833083238	0.0003382296116760893	0.002013163020034327	0.00011359946314514036	0.0015483632380891637	9.865139216653518e-05	0.007026551699845271	0.005091432535012604
n99	9.924855647173879e-11	2.484416541182949e-11	4.312852737751792e-11	3.105254800829659e-11	1.0391170226060327e-09	2.5617785464029006e-11	4.983597543913238e-11	2.67716474592391e-11	2.4903288224864084e-11	2.6322855075377534e-11	2.4844890860003405e-11	0.9999999984009306	1.8338221251940372e-10
n1010	8.300785728566785e-06	2.073510551014842e-06	3.938106668946735e-06	0.9996631565830574	0.0001625848433686764	2.1721743020394424e-06	9.902888219883754e-05	2.319322253853522e-06	2.157168897604229e-06	2.204270311371732e-05	2.077536020037047e-06	1.4637476265127316e-05	1.5510907574305536e-05
DRR317541	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0
ERR363372	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0
n1414	1.1960715335616254e-15	2.994143242176004e-16	5.189586606557836e-16	2.9982528564530177e-16	6.85529558975008e-16	2.994123733621892e-16	5.988578562312843e-16	2.99412202964787e-16	2.999395027616128e-16	2.994124243628442e-16	2.9941354353875993e-16	0.9999999999999927	2.156861400889883e-15
ERR4326576	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
n17	1.8686181316537187e-16	4.676902467058932e-17	8.171106840746515e-17	4.683870778190257e-17	0.999999999999999	4.676873733095944e-17	9.358430119794802e-17	4.6768736648000917e-17	4.712616716968989e-17	4.677004291470218e-17	4.6776501207636925e-17	2.7271119867169114e-16	3.3692517979880375e-16
