node	Australia	Bangladesh	Canada	China	Czech Republic	Denmark	France	Germany	Ireland	Japan	Malaysia	Netherlands	Norway	Singapore	South Korea	Spain	Sweden	Taiwan	UK	USA
SRR25361505	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
n10041004	4.0180467881967245e-07	1.5127681409483443e-08	3.627173390503932e-07	1.6688480793721664e-07	1.2421957801748974e-08	1.2422020511534652e-08	1.2421666065126995e-08	2.5441483342332302e-06	8.149294070369798e-07	2.19663061157981e-07	1.2427153522820664e-08	3.7264101611626065e-08	8.300337821235079e-08	2.920671594775201e-08	1.2422493292597725e-08	1.2509653934585337e-07	1.2421974596918716e-08	2.1779032716354355e-07	1.1122447094512862e-06	0.9999937955816528
n1226	6.016624690300829e-10	2.263539441708974e-11	5.185962193687521e-10	2.497080252666959e-10	1.858684795534931e-11	1.858725419916333e-11	1.8586411432836482e-11	7.449323078897436e-10	1.7485306656368132e-09	7.872356820386903e-10	1.8594622259458143e-11	5.575789274944073e-11	1.2419710441062443e-10	4.370664464820494e-11	1.8587649204811193e-11	1.8718065398368983e-10	1.858687311374155e-11	3.2587748246466767e-10	7.945422051872112e-09	0.9999999865330277
n13061306	0.005814313601045274	0.0002189103075529459	0.005010581581208033	0.002414963909010152	0.00017975620514363002	0.00017975701532868183	0.00017975198346868178	0.004107329829617567	0.0010783048104494204	0.0031785760204854304	0.0001798313916092201	0.0005392429760829999	0.001201128881100275	0.00042264427376094475	0.00017976395414780373	0.001810252285175434	0.00017975644817519614	0.0031516096861603747	0.015869143253459995	0.9541043815870179
n1309	0.0012123536586264342	4.5645410762312545e-05	0.0010447660355269598	0.0005035487859623152	3.7481313294811374e-05	3.748148216298799e-05	3.7480433025219516e-05	0.0008564272053640501	0.0002248393833617085	0.0006627710208160156	3.749699056987449e-05	0.00011243859377451767	0.00025044970138268666	8.812637226985766e-05	3.74829290546287e-05	0.00037745919807938874	3.74813639697865e-05	0.0006571482187979464	0.0033087705317865128	0.990430351371412
SRR12051762	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0
SRR900210	0.020423788338440628	0.0007689604854631705	0.0176005382685838	0.008482980269896311	0.0006314248987057455	0.000631427745828006	0.0006314100693390821	0.014427707725156471	0.003787732028138711	0.01116530045832506	0.0006316890042278986	0.0018941846334535853	0.004219173860932247	0.0014846114545030377	0.0006314521184291034	0.006358825637676454	0.0006314257523964506	0.011070576536089498	0.15214961472035166	0.7423771759940632
n1314	1.254510962092595e-05	4.683698395355399e-07	1.0729627038011837e-05	5.166939241880734e-06	3.8459762767578555e-07	3.845993647083234e-07	3.845885951855395e-07	8.787841744772431e-06	2.3070878619567667e-06	6.80072654229059e-06	3.847584929781903e-07	1.1537380263264992e-06	2.5698768943089955e-06	9.042691746436762e-07	3.8461420706796504e-07	3.873127683224294e-06	3.8459814765461686e-07	6.74303069424106e-06	3.423463317450584e-05	0.9999014078660281
SRR30795554	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0
ERR5412318	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0
SRR30795488	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0
ERR5412605	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0
SRR6046393	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0
n44	2.6256412404904325e-06	9.641481349760382e-08	2.2068345386027778e-06	1.525500961561832e-06	7.917014592731485e-08	7.917299887036611e-08	7.916828851922803e-08	2.6264864283882006e-05	4.7493055253861033e-07	2.843121397335285e-05	7.920326035275538e-08	2.3750439206029014e-07	5.290140107814975e-07	1.8618493344954658e-07	7.917897690511763e-08	7.972906274255179e-07	8.227401818998262e-08	1.3880659774802512e-06	1.1404349471397738e-05	0.9999233540225347
n432	8.140134089611474e-06	3.0402443973246343e-07	6.9587489513833106e-06	3.415161390302621e-06	2.496468995367343e-07	2.496505329547335e-07	2.4964103669791825e-07	1.2300614580127213e-05	1.4975704245131397e-06	7.998786266802955e-06	2.4975131911995187e-07	7.489057861163927e-07	1.6681377042517964e-06	5.870114755101732e-07	2.496583797931819e-07	2.5140932965971e-06	2.527667518012371e-07	4.376981925442515e-06	3.0142218125248102e-05	0.9999178464966244
n440	8.1772259848805e-05	3.076192509015519e-06	7.041018828987051e-05	3.3949187853054865e-05	2.5259874598556803e-06	2.5260014474964883e-06	2.525928135684849e-06	0.00014231192993228303	1.5152667168964168e-05	4.545520814928319e-05	2.52704400234934e-06	7.577602240061926e-06	1.6878618967580556e-05	5.939163688575839e-06	2.5260965083411576e-06	2.543820152341627e-05	5.939485819660853e-06	4.428735362005415e-05	0.004211494922754852	0.9952776859600808
n459	3.7010016393931195e-05	1.390876738573088e-06	3.183543031140159e-05	1.5357237612843656e-05	1.1421057653394289e-06	1.1421135265601143e-06	1.1420789424037894e-06	0.00017836541486733722	6.85116870598759e-06	2.0990861700611877e-05	1.1425834728864823e-06	3.426154545479477e-06	7.63153751094074e-06	2.6853697943511765e-06	1.142155157272237e-06	1.1501686798326342e-05	1.9041304015832597e-06	2.0024185908377363e-05	0.0009917270698802313	0.9986635878219655
n465465	1.4788041698354562e-07	2.942784684308036e-09	6.73595480500063e-08	3.2464271274344405e-08	2.4164408397172763e-09	2.4165995004853416e-09	2.4163840882544038e-09	5.756530406631235e-08	1.4496237354046209e-08	4.274505999217627e-08	2.4174515622450804e-09	7.248977854836151e-09	1.6146630596618225e-08	5.683890062166658e-09	2.416545011040376e-09	2.4335001668477736e-08	2.416493690298838e-09	4.237013215191856e-08	4.396518071206582e-07	0.9999990846100235
