node	Australia	Canada	Denmark	Germany	Ireland	Norway	Spain	UK
n22	8.73727144661819e-08	8.795935827344131e-08	2.727258887849336e-07	1.729671889556277e-07	8.77763411557712e-08	1.7753813115619627e-07	1.8986040118027747e-07	0.9999989237999759
n4	0.024318714848152807	0.024948553007129205	0.08673151160632231	0.046737418707031395	0.023518132697472244	0.051772206049774686	0.05144611016662097	0.6905273529174962
n55	0.015248833894674811	0.01676102359787281	0.0802525118733841	0.025937238204790124	0.012560666445734175	0.038158236370235785	0.03727497722902639	0.7738065123842818
n66	0.015162490624893273	0.016670622723774738	0.08008153427229725	0.02580927384183752	0.012480729570367926	0.037768088297122915	0.037084141074807966	0.7749431195948983
n8	0.015191065402606589	0.016700499432279116	0.08036973739574242	0.025846293974516425	0.012507264238107394	0.03783165088486814	0.03714711346674815	0.7744063752051318
n1010	0.04576075127463147	0.05799534655543194	0.2029907330646166	0.03938130521445725	0.02361215555543792	0.05293317796322305	0.053131452027273166	0.5241950783449285
n18	3.244804005977872e-05	3.252269238728823e-05	9.667554189907163e-05	6.457684304822052e-05	3.2884142656020107e-05	6.463425889867372e-05	6.463599722689212e-05	0.999611622483824
n1919	0.04042807013889071	0.048494387731458616	0.1887109549350817	0.04902910926277999	0.02631557455316538	0.055943076487380776	0.0560216911205965	0.5350571357706463
n2222	0.0456700583232342	0.05836362288254118	0.2041597864843606	0.03928011667550201	0.023606407845896342	0.0529575688645983	0.05300246712806414	0.5229599717958033
ERR363253	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0
ERR330767	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0
ERR5414274	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0
n44	9.358056405899238e-08	9.367874751787917e-08	2.7990747194749445e-07	1.868621507135432e-07	9.505021354320519e-08	1.8757787560937894e-07	1.8752840748051383e-07	0.9999988758145691
ERR494867	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0
ERR5384787	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0
n7	8.72312647274508e-08	8.782121924692054e-08	2.7252669417976304e-07	1.7269354192953374e-07	8.762590142853701e-08	1.7730900643959566e-07	1.7704270716094447e-07	0.9999989377496649
n77	0.01516913009287566	0.016672774897587055	0.07999680298652985	0.02585244953184241	0.012496267373049026	0.03775917955936029	0.03707726814759146	0.7749761274111642
ERR5413805	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0
ERR369149	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0
n1111	3.234360090042199e-05	3.235722256312992e-05	9.603032929557077e-05	6.462805502639156e-05	3.2892387834864744e-05	6.461777185548058e-05	6.461852315416101e-05	0.9996125121093699
n1212	9.568267976292841e-08	9.590387938765837e-08	2.8508239037750956e-07	1.9041945535197267e-07	9.696665887445252e-08	1.9058994591111094e-07	1.905950890831078e-07	0.9999988547599012
ERR5412284	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0
n1818	4.199897040556186e-08	4.199903433887504e-08	1.246009258630871e-07	8.399624382417178e-08	4.2744659885499245e-08	8.396331738575338e-08	8.396400843175355e-08	0.9999994967328398
ERR7253666	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0
n20	0.04040536660746068	0.04845334457380077	0.18867137794706762	0.049056062023496556	0.02632618636710032	0.05595425519347661	0.05603269222412423	0.5351007150634732
n23	9.542214949378211e-08	9.544943869199566e-08	2.832415623505396e-07	1.9072917964268524e-07	9.706747653128577e-08	1.906836840428026e-07	1.9068534392444378e-07	0.9999988567211652
n2424	0.03344536510752796	0.08841887843173599	0.27234131051265625	0.037840861107643016	0.026835639553053528	0.0607705431977715	0.0454918398108157	0.434855562278796
ERR5412215	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0
n5	2.443562972812613e-10	2.444828395989595e-10	7.278845085142564e-10	4.883234157257651e-10	2.484478744642998e-10	4.891505908425716e-10	4.890887170479589e-10	0.9999999970682658
SRR6045697	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0
ERR5413543	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0
ERR5412366	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0
ERR1413175	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0
n12	4.196918115922299e-08	4.196911488390778e-08	1.245118330202049e-07	8.39372212357269e-08	4.271458601586887e-08	8.390417359130665e-08	8.390486204572837e-08	0.999999497089028
ERR5413265	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0
ERR5413799	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0
n13	2.477145201600946e-10	2.4800070227183236e-10	7.364804031073634e-10	4.942010517556478e-10	2.515762953212728e-10	4.943242650501813e-10	4.943329551135351e-10	0.99999999703337
ERR5414182	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0
ERR5412986	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0
ERR5412458	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0
n2020	0.030978441167049207	0.03302989308666692	0.23100330326279825	0.053861842003080064	0.027756834485903742	0.055603951913017084	0.05562428516627571	0.5121414489152091
n2323	2.470560819452128e-10	2.47091095439051e-10	7.331437539552044e-10	4.939602781196672e-10	2.513802006493613e-10	4.938039822814738e-10	4.938081558957847e-10	0.9999999970397565
ERR5414096	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0
n25	0.033386310715776385	0.08860326105010362	0.27277132425907746	0.037818103789941285	0.026848397753379008	0.060807426925599685	0.045443929926881524	0.4343212455792409
n27	9.542617118705894e-08	9.641576845278674e-08	2.8622172239821224e-07	1.9032699531121342e-07	9.699143202362025e-08	1.906651101347774e-07	1.9039156730347583e-07	0.9999988535612332
ERR5413290	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0
ERR5413143	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0
ERR5412098	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0
ERR5413443	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0
n1313	1.23852164423751e-10	1.2385225330897165e-10	3.674392779259186e-10	2.4769974921143756e-10	1.2605134001592516e-10	2.476025406673274e-10	2.4760457690711775e-10	0.9999999985158982
n15	1.24012492133929e-10	1.2401258113359045e-10	3.6791493128176197e-10	2.480203987060603e-10	1.2621451457930695e-10	2.479230643239489e-10	2.4792510319966135e-10	0.999999998513977
n21	1.5976771623734394e-08	1.6112244392394548e-08	0.9999995783548072	3.141850448146752e-08	1.601141050481507e-08	3.1522595929257675e-08	3.152416735819787e-08	2.790794983659189e-07
n2121	9.53736052299111e-08	9.545983957759556e-08	2.8881036862174025e-07	1.9040380622047116e-07	9.690869220373947e-08	1.9040307436708274e-07	1.9040547323046304e-07	0.9999988522351405
n24	1.236909861388658e-10	1.2369075047545511e-10	3.669593144142325e-10	2.4737878856802945e-10	1.258879120851483e-10	2.472813448203764e-10	2.472833725903571e-10	0.9999999985178275
ERR5413671	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0
ERR5384789	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0
n2525	0.03333187341192986	0.0887976606989642	0.2732289610695712	0.03780183370320977	0.02686519729554112	0.06071758838962339	0.04540322961571474	0.43385365581544577
ERR494844	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0
ERR494869	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0
n14	1.2369161640469991e-10	1.236913352660693e-10	3.669609382921854e-10	2.473802355032255e-10	1.2588863545681676e-10	2.472827421462662e-10	2.472847697744913e-10	0.9999999985178197
ERR5412740	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0
n1515	1.2369203122760317e-10	1.2369175008864895e-10	3.669621689675318e-10	2.473810651363411e-10	1.2588905764667045e-10	2.4728357145310847e-10	2.4728559908814367e-10	0.9999999985178147
n1717	1.2353191081157367e-10	1.2353163003655728e-10	3.6648713323096373e-10	2.4706082818433354e-10	1.2572609316072786e-10	2.4696346070752837e-10	2.4696548571777225e-10	0.9999999985197334
ERR363457	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0
ERR363510	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0
ERR5412298	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0
ERR5412902	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0
ERR5413113	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0
ERR5412949	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0
