node	Canada	China	Ireland	UK	USA
Node_24	1.1340601383362214e-08	1.9422139509151017e-09	1.9577571595660493e-09	6.019245211267482e-09	0.9999999787401823
Node_28	1.655185756471231e-05	1.2352578658879134e-05	1.2451820726774387e-05	3.822525760194099e-05	0.9999204184854478
SRR7800645	0.0	0.0	0.0	0.0	1.0
Node_36	0.44842186900558584	0.0037919702672658687	0.003822304620384489	0.011753753465843031	0.5322101026409208
Node_48	1.1743376341245435e-07	8.766221169448778e-08	8.836086210885547e-08	2.719529464706843e-07	0.9999994345902162
Node_50	0.001723796973914739	0.0021467778512659365	0.0012963412930932416	0.004066969579462615	0.9907661143022635
Node_60	0.003007973867027107	0.0022453234602039397	0.0022630803817340166	0.0432755033940041	0.9492081188970308
Node_66	0.0016996156323747936	0.0012686860948393128	0.0012787069801429053	0.003950980484991507	0.9918020108076515
Node_71	0.009086028551104682	0.006792349022163107	0.07085300454173026	0.13245622677541882	0.7808123911095832
Node_78	0.004792380651829281	0.0035859096935381015	0.008677321355347082	0.0361145550976483	0.9468298332016372
SRR32604922	0.0	1.0	0.0	0.0	0.0
Node_121	3.295973503299584e-11	2.461985835700489e-11	2.480608334845004e-11	0.9999999994563359	4.6127849175907493e-10
Node_9	8.393620362665109e-09	6.240554706798129e-09	6.290691968080787e-09	1.9374711370674188e-08	0.9999999597004215
Node_10	5.341079603791782e-12	3.984716784038244e-12	4.016730466724953e-12	1.2336630603489162e-11	0.9999999999743208
SRR12051835	0.0	0.0	0.0	0.0	1.0
SRR12051836	0.0	0.0	0.0	0.0	1.0
Node_22	5.1622357969189334e-09	3.853495765930342e-09	3.884455212326775e-09	1.1924704652723914e-08	0.9999999751751086
Node_23	1.875332419491373e-13	3.270586522148202e-14	3.2967628608865536e-14	1.0135738309062908e-13	0.9999999999996454
Node_27	1.8020853139418856e-12	1.3452029467043277e-12	1.3560104681188081e-12	4.162752183364439e-12	0.9999999999913339
SRR21939501	0.0	0.0	0.0	0.0	1.0
Node_32	0.9999998293435058	1.1268709299637842e-08	1.1359231298615978e-08	3.4873009818511915e-08	1.1315554375881253e-07
Node_35	0.999999351375169	2.3239192447487746e-08	2.3425797755000176e-08	7.192908935221778e-08	5.300307515498459e-07
Node_40	6.076823690402692e-05	4.536275340168709e-05	4.572720312465087e-05	0.00014037577855779588	0.9997077660280118
Node_47	2.0872839797073413e-12	1.5581203015658432e-12	1.5705382656869856e-12	4.8337227471204975e-12	0.9999999999899503
SRR18969506	0.0	1.0	0.0	0.0	0.0
Node_49	0.00172479139752248	0.0021474559170270627	0.001297089641281527	0.004069260367878217	0.9907614026762906
Node_54	1.030766906408243e-07	7.694444310492685e-08	7.755939680155752e-08	6.534253494286476e-07	0.99999908899412
Node_59	5.496427661980382e-08	4.10301059213253e-08	4.135955966372091e-08	0.9999990030462413	8.595998165504764e-07
Node_63	0.006772744792405372	0.005055768843140189	0.005096377810437251	0.01564656724341959	0.9674285413105976
Node_65	1.089931165878281e-11	8.136074252603235e-12	8.20104430391174e-12	2.523485352740004e-11	0.9999999999475286
Node_69	3.29588616234552e-11	2.4607320756984428e-11	5.063069118316583e-11	0.9999999994492231	4.42580054685985e-10
Node_70	7.09457225363651e-05	5.296499652024308e-05	0.9989766228605076	0.0002196644969186273	0.0006798019235172325
ERR5412303	0.0	0.0	0.0	1.0	0.0
Node_77	0.0010036179295689277	0.0007495025593261031	0.02926005713816811	0.003248164649802908	0.9657386577231339
ERR369267	0.0	0.0	0.0	1.0	0.0
Node_120	5.833720785458875e-16	4.3562013697906943e-16	4.390175489081714e-16	0.9999999999999932	5.351739397745327e-15
SRR12051632	0.0	0.0	0.0	0.0	1.0
SRR12051771	0.0	0.0	0.0	0.0	1.0
SRR7800560	0.0	0.0	0.0	0.0	1.0
SRR7800489	0.0	0.0	0.0	0.0	1.0
SRR21939500	0.0	0.0	0.0	0.0	1.0
SRR21939499	0.0	0.0	0.0	0.0	1.0
SRR21939503	0.0	0.0	0.0	0.0	1.0
SRR21939502	0.0	0.0	0.0	0.0	1.0
SRR21939498	0.0	0.0	0.0	0.0	1.0
Node_26	1.0514962989398768e-15	7.849287364386873e-16	7.912349479851235e-16	2.4289745912867e-15	0.999999999999995
SRR26728005	1.0	0.0	0.0	0.0	0.0
Node_31	0.999999999999295	6.445996348355144e-14	6.497784252792555e-14	1.9947239726281735e-13	3.760572749079509e-13
SRR16943881	1.0	0.0	0.0	0.0	0.0
Node_34	0.9999999999985463	1.3290794799192701e-13	1.3397574626235698e-13	4.1128579819215467e-13	7.755968963310443e-13
SRR21939561	0.0	0.0	0.0	0.0	1.0
SRR21939563	0.0	0.0	0.0	0.0	1.0
Node_45	5.133669233463429e-12	3.832221068398028e-12	3.863002160972698e-12	1.185976695909425e-11	0.9999999999753114
Node_46	1.0561695328312877e-15	7.884175779547953e-16	7.947501720044143e-16	2.43996977444098e-15	0.999999999999995
SRR7800639	0.0	0.0	0.0	0.0	1.0
SRR30795579	0.0	0.0	0.0	0.0	1.0
ERR374008	0.0	0.0	0.0	0.0	1.0
Node_53	1.6963287681772845e-12	1.2662714792343978e-12	1.2763917802429114e-12	1.074904820999594e-11	0.999999999985012
Node_55	2.5113481562321304e-06	1.8746910037167926e-06	1.8897524907439149e-06	0.9999827733138742	1.0950894474938286e-05
Node_58	4.799632986773757e-13	3.5828625816319236e-13	3.611631406549022e-13	0.999999999991298	7.502646320241162e-12
Node_62	4.0809104591639694e-08	3.046349904248521e-08	3.07082353243299e-08	9.427140554820083e-08	0.9999998037477554
SRR7800404	0.0	0.0	0.0	0.0	1.0
Node_64	1.2010967568972642e-15	8.966020550340684e-16	9.037989483318154e-16	2.775497446435807e-15	0.9999999999999942
ERR349304	0.0	0.0	0.0	0.0	1.0
ERR337789	0.0	0.0	0.0	1.0	0.0
ERR363379	0.0	0.0	0.0	1.0	0.0
ERR4020063	0.0	0.0	1.0	0.0	0.0
ERR4020066	0.0	0.0	1.0	0.0	0.0
Node_73	0.00035685150332238956	0.00026641270824910574	0.0027546791196398322	0.0009054285383877143	0.9957166281304008
Node_76	0.0010038753257699774	0.0007496946243199778	0.029274655599762573	0.0032485277558096733	0.9657232466943377
ERR337828	0.0	0.0	0.0	1.0	0.0
Node_119	4.616444466288353e-13	3.4461199436020637e-13	3.4738064701432465e-13	0.9999999999968364	2.009898946496448e-12
SRR21939496	0.0	0.0	0.0	0.0	1.0
Node_25	1.0218582602917353e-15	7.6280482441699995e-16	7.689332898073407e-16	2.360511789225168e-15	0.9999999999999951
SRR26727921	1.0	0.0	0.0	0.0	0.0
Node_30	0.9999999999999996	4.0487980990182084e-17	4.0813266282301834e-17	1.252907079271694e-16	2.3613607394462327e-16
SRR16943862	1.0	0.0	0.0	0.0	0.0
Node_33	0.9999999999999996	4.0746563160258476e-17	4.1073925932202426e-17	1.2609089465665192e-16	2.376454510345832e-16
Node_44	1.7428898591535176e-12	1.3010461644095668e-12	1.31149873721017e-12	4.026130971169685e-12	0.9999999999916184
SRR21939564	0.0	0.0	0.0	0.0	1.0
SRR21939617	0.0	0.0	0.0	0.0	1.0
SRR21939614	0.0	0.0	0.0	0.0	1.0
ERR363435	0.0	0.0	0.0	0.0	1.0
Node_52	1.0497401023330407e-15	7.83617995635601e-16	7.899128036411305e-16	2.5372552557352217e-15	0.9999999999999948
ERR5413571	0.0	0.0	0.0	1.0	0.0
ERR5412905	0.0	0.0	0.0	1.0	0.0
ERR5413426	0.0	0.0	0.0	1.0	0.0
Node_57	2.9187004085633754e-16	2.178774485130206e-16	2.1962788780575602e-16	0.9999999999999979	1.3179502896558531e-15
SRR12051655	0.0	0.0	0.0	0.0	1.0
Node_61	2.9749938508941254e-09	2.22079663969577e-09	2.2386379767170865e-09	6.8724086623429755e-09	0.999999985693163
ERR349270	0.0	0.0	0.0	0.0	1.0
ERR373962	0.0	0.0	0.0	0.0	1.0
ERR374033	0.0	0.0	0.0	0.0	1.0
Node_72	6.338272436512594e-12	4.7315285171432856e-12	1.2474171858846234e-11	1.4892845516183082e-11	0.9999999999615632
ERR4020085	0.0	0.0	1.0	0.0	0.0
Node_75	1.1883867780405557e-11	8.871716475197046e-12	5.919414740059499e-11	2.9089862803301635e-11	0.9999999998909604
Node_82	2.917099998370874e-16	2.1775798451992435e-16	2.1950747825602886e-16	0.9999999999999981	1.2700173354887356e-15
Node_118	4.616363899752342e-13	3.4460597823323574e-13	3.4737458396737094e-13	0.9999999999968365	2.009825038068998e-12
SRR21939497	0.0	0.0	0.0	0.0	1.0
SRR21939494	0.0	0.0	0.0	0.0	1.0
SRR26727920	1.0	0.0	0.0	0.0	0.0
SRR26727976	1.0	0.0	0.0	0.0	0.0
SRR16943882	1.0	0.0	0.0	0.0	0.0
SRR16943747	1.0	0.0	0.0	0.0	0.0
Node_43	7.68352408343273e-09	5.735657739616261e-09	5.78173870138121e-09	1.774908506074711e-08	0.9999999630499944
SRR21939603	0.0	0.0	0.0	0.0	1.0
ERR363488	0.0	0.0	0.0	0.0	1.0
ERR374036	0.0	0.0	0.0	0.0	1.0
ERR5412147	0.0	0.0	0.0	1.0	0.0
Node_56	2.8768141708143466e-16	2.1475069623122717e-16	2.1647602906497783e-16	0.9999999999999981	1.2524781795396625e-15
SRR7800403	0.0	0.0	0.0	0.0	1.0
SRR7800465	0.0	0.0	0.0	0.0	1.0
ERR363467	0.0	0.0	0.0	0.0	1.0
ERR363414	0.0	0.0	0.0	0.0	1.0
ERR349323	0.0	0.0	0.0	0.0	1.0
Node_74	1.2172925027243444e-15	9.08703215947875e-16	1.7424456316454111e-15	2.838905914266832e-15	0.9999999999999932
ERR369293	0.0	0.0	0.0	1.0	0.0
Node_81	2.8768392618438127e-16	2.1475256924625292e-16	2.164779171281548e-16	0.9999999999999981	1.2524886912136457e-15
ERR337834	0.0	0.0	0.0	1.0	0.0
Node_117	2.917099652555631e-16	2.1775795868837267e-16	2.1950745222928318e-16	0.9999999999999981	1.2700168460642018e-15
SRR21939570	0.0	0.0	0.0	0.0	1.0
Node_42	1.0616031212732256e-11	7.92473882142269e-12	7.988407122985605e-12	2.4523231652076788e-11	0.9999999999489475
ERR5414006	0.0	0.0	0.0	1.0	0.0
ERR5412955	0.0	0.0	0.0	1.0	0.0
ERR349289	0.0	0.0	0.0	0.0	1.0
ERR374024	0.0	0.0	0.0	0.0	1.0
ERR369283	0.0	0.0	0.0	1.0	0.0
Node_80	2.876813805493499e-16	2.1475066896051014e-16	2.164760015752886e-16	0.9999999999999981	1.2524776082866888e-15
ERR369273	0.0	0.0	0.0	1.0	0.0
Node_116	2.91721483860451e-16	2.1776655718751937e-16	2.1951611980980268e-16	0.9999999999999981	1.2700669945815415e-15
SRR21939633	0.0	0.0	0.0	0.0	1.0
Node_41	5.1329644718338324e-09	3.831695857312369e-09	3.862480161103051e-09	1.1857244414813217e-08	0.9999999753156151
ERR337854	0.0	0.0	0.0	1.0	0.0
ERR337844	0.0	0.0	0.0	1.0	0.0
ERR337897	0.0	0.0	0.0	1.0	0.0
Node_115	4.629563326171224e-13	3.4559129944100295e-13	3.4836782136382345e-13	0.9999999999968274	2.015571668594666e-12
SRR21939580	0.0	0.0	0.0	0.0	1.0
SRR21939591	0.0	0.0	0.0	0.0	1.0
Node_85	4.629522925137107e-13	3.455882835527008e-13	3.4836478124551324e-13	0.9999999999968274	2.0155540792079334e-12
Node_114	2.9172399401251117e-16	2.1776843098565355e-16	2.1951800866225567e-16	0.9999999999999981	1.2700779230234267e-15
Node_84	2.917214129545795e-16	2.177665042571444e-16	2.1951606645417873e-16	0.9999999999999981	1.2700666858788504e-15
ERR343183	0.0	0.0	0.0	1.0	0.0
Node_90	2.8768392635032196e-16	2.1475256937012567e-16	2.1647791725302276e-16	0.9999999999999981	1.2524886919331403e-15
Node_113	2.87683926328415e-16	2.1475256935377236e-16	2.1647791723653806e-16	0.9999999999999981	1.2524886918377639e-15
Node_83	2.876814157828626e-16	2.14750695261901e-16	2.1647602808798797e-16	0.9999999999999981	1.2524777616827328e-15
ERR374045	0.0	0.0	0.0	1.0	0.0
Node_89	2.876864015947929e-16	2.1475441711016696e-16	2.1647977983802902e-16	0.9999999999999981	1.2524994683979535e-15
ERR337875	0.0	0.0	0.0	1.0	0.0
ERR369323	0.0	0.0	0.0	1.0	0.0
Node_112	2.8768389107404217e-16	2.147525430368097e-16	2.1647789070814178e-16	0.9999999999999981	1.2524885383509013e-15
ERR369339	0.0	0.0	0.0	1.0	0.0
ERR337900	0.0	0.0	0.0	1.0	0.0
Node_87	2.8768389107176295e-16	2.147525430351083e-16	2.164778907064267e-16	0.9999999999999981	1.2524885383409782e-15
Node_88	2.876813805709531e-16	2.1475066897663667e-16	2.164760015915447e-16	0.9999999999999981	1.2524776083807425e-15
ERR337884	0.0	0.0	0.0	1.0	0.0
Node_111	2.876841170232067e-16	2.1475271170512654e-16	2.164780607315601e-16	0.9999999999999981	1.2524895220651363e-15
Node_86	2.8768138054904277e-16	2.1475066896028087e-16	2.164760015750575e-16	0.9999999999999981	1.2524776082853517e-15
ERR369315	0.0	0.0	0.0	1.0	0.0
ERR337833	0.0	0.0	0.0	1.0	0.0
ERR369314	0.0	0.0	0.0	1.0	0.0
ERR337899	0.0	0.0	0.0	1.0	0.0
Node_110	3.1357594507440107e-16	2.340806479934838e-16	2.359612799767346e-16	0.9999999999999979	1.3652147002111969e-15
ERR369272	0.0	0.0	0.0	1.0	0.0
ERR337876	0.0	0.0	0.0	1.0	0.0
ERR369336	0.0	0.0	0.0	1.0	0.0
Node_109	2.9672900465629426e-12	2.2150461085886754e-12	2.2328420545239537e-12	0.9999999999796662	1.291868223628229e-11
ERR369338	0.0	0.0	0.0	1.0	0.0
Node_108	2.9672900465629426e-12	2.2150461085886754e-12	2.2328420545239537e-12	0.9999999999796662	1.291868223628229e-11
ERR374074	0.0	0.0	0.0	1.0	0.0
Node_107	3.1357594507473456e-16	2.3408064799373274e-16	2.359612799769855e-16	0.9999999999999979	1.3652147002126488e-15
ERR343212	0.0	0.0	0.0	1.0	0.0
Node_106	2.8768415209399426e-16	2.14752737885045e-16	2.1647808712181113e-16	0.9999999999999981	1.2524896747527243e-15
ERR374102	0.0	0.0	0.0	1.0	0.0
Node_105	2.917026928772186e-16	2.1775252994595134e-16	2.195019798716946e-16	0.9999999999999981	1.2699851843312872e-15
Node_104	4.608071330142077e-13	3.4398694794778407e-13	3.46750580318408e-13	0.9999999999968422	2.0062147043961173e-12
ERR343232	0.0	0.0	0.0	1.0	0.0
Node_98	2.9170523846839764e-16	2.1775443019895886e-16	2.1950389539156253e-16	0.9999999999999981	1.2699962670643632e-15
Node_103	4.608031116668128e-13	3.4398394606062157e-13	3.4674755431372424e-13	0.9999999999968422	2.0061971966674017e-12
Node_96	2.8768392616474056e-16	2.147525692315914e-16	2.1647791711337547e-16	0.9999999999999981	1.2524886911251752e-15
Node_97	2.876814156417141e-16	2.1475069515653536e-16	2.1647602798177584e-16	0.9999999999999981	1.2524777610682153e-15
ERR374133	0.0	0.0	0.0	1.0	0.0
Node_102	2.9170265780445747e-16	2.1775250376455962e-16	2.195019534799584e-16	0.9999999999999981	1.2699850316351068e-15
Node_95	2.876838910720724e-16	2.147525430353393e-16	2.1647789070665956e-16	0.9999999999999981	1.2524885383423254e-15
ERR351974	0.0	0.0	0.0	1.0	0.0
ERR343229	0.0	0.0	0.0	1.0	0.0
ERR351970	0.0	0.0	0.0	1.0	0.0
Node_101	2.876864366433381e-16	2.147544432734818e-16	2.1647980621154306e-16	0.9999999999999981	1.2524996209887052e-15
ERR340501	0.0	0.0	0.0	1.0	0.0
ERR343233	0.0	0.0	0.0	1.0	0.0
Node_94	2.876838910936717e-16	2.1475254305146293e-16	2.1647789072291273e-16	0.9999999999999981	1.2524885384363623e-15
Node_99	2.8768138057125784e-16	2.1475066897686416e-16	2.16476001591774e-16	0.9999999999999981	1.2524776083820694e-15
Node_100	2.8768138057125784e-16	2.1475066897686416e-16	2.16476001591774e-16	0.9999999999999981	1.2524776083820694e-15
ERR374103	0.0	0.0	0.0	1.0	0.0
Node_93	2.876864015725751e-16	2.147544170935816e-16	2.1647977982131042e-16	0.9999999999999981	1.2524994683012238e-15
ERR374131	0.0	0.0	0.0	1.0	0.0
ERR374132	0.0	0.0	0.0	1.0	0.0
ERR340502	0.0	0.0	0.0	1.0	0.0
ERR340503	0.0	0.0	0.0	1.0	0.0
Node_91	2.8768138057095126e-16	2.1475066897663534e-16	2.1647600159154334e-16	0.9999999999999981	1.2524776083807348e-15
Node_92	2.8768138057095126e-16	2.1475066897663534e-16	2.1647600159154334e-16	0.9999999999999981	1.2524776083807348e-15
ERR343228	0.0	0.0	0.0	1.0	0.0
ERR374095	0.0	0.0	0.0	1.0	0.0
ERR374096	0.0	0.0	0.0	1.0	0.0
ERR374097	0.0	0.0	0.0	1.0	0.0
