node	France	Germany	Ireland	UK	USA
SRR12574861	0.0	0.0	0.0	0.0	1.0
Node_130	4.141928016604482e-08	4.6463062849951465e-07	0.999996213934599	5.355082838783271e-07	2.7445072084931964e-06
ERR363320	0.0	0.0	0.0	1.0	0.0
ERR330834	0.0	0.0	0.0	1.0	0.0
SRR12051725	0.0	0.0	0.0	0.0	1.0
SRR12051724	0.0	0.0	0.0	0.0	1.0
SRR6388744	0.0	0.0	0.0	1.0	0.0
Node_12	7.842230414588512e-15	8.617448484196715e-14	2.348414126593535e-14	0.9999999999994389	4.436318896093892e-13
ERR494915	0.0	0.0	0.0	1.0	0.0
ERR494859	0.0	0.0	0.0	1.0	0.0
SRR7800725	0.0	0.0	0.0	0.0	1.0
Node_28	2.7210134593217026e-07	3.072011247879895e-06	8.167237979933246e-07	4.453580780480033e-06	0.9999913855828276
ERR3198447	0.0	0.0	0.0	1.0	0.0
ERR3198444	0.0	0.0	0.0	1.0	0.0
Node_38	9.840634948925082e-05	0.0010813398791580731	0.0002946851203135606	0.9929587601643565	0.005566808486682758
ERR3198445	0.0	0.0	0.0	1.0	0.0
Node_53	0.004678733204191781	0.05226296129881492	0.01611749236946394	0.2726202707966311	0.6543205423308983
Node_54	1.6317775508729103e-10	0.9999999881199265	5.126122186659514e-10	1.913716272438781e-09	9.29056722081107e-09
Node_68	0.008878629496349402	0.12078777877257665	0.08411989739598484	0.11980944713433417	0.6664042472007549
Node_94	0.00860747357679396	0.12235164357311296	0.06658494987363793	0.11297161012499653	0.6894843228514587
Node_102	8.353618704824302e-10	9.181843682186386e-09	2.5072230973338853e-09	9.767053262455807e-09	0.9999999777085181
Node_106	0.0021063478239235984	0.02316057569668752	0.006342106651915009	0.02464283231135348	0.9437481375161203
Node_109	0.003852513120218582	0.0423374614468016	0.011545998984776323	0.04522784648140501	0.8970361799667985
Node_114	0.003895693884158644	0.042829285722863736	0.011715330742732094	0.04660664439997633	0.8949530452502692
ERR1869534	0.0	1.0	0.0	0.0	0.0
Node_118	0.0078676060569869	0.08645341857747398	0.02356032622750559	0.09194747859761894	0.7901711705404146
Node_125	6.135273050920011e-10	6.742502302555386e-09	1.8771170515265384e-09	7.1742330817269625e-09	0.9999999835926203
Node_126	5.991475889772013e-10	6.590671251687873e-09	2.163946859064499e-09	7.03967289034956e-09	0.9999999836065614
ERR363482	0.0	0.0	0.0	0.0	1.0
ERR363429	0.0	0.0	0.0	0.0	1.0
ERR4020097	0.0	0.0	1.0	0.0	0.0
ERR4020103	0.0	0.0	1.0	0.0	0.0
ERR5413187	0.0	0.0	0.0	1.0	0.0
Node_11	7.842230396189127e-15	8.617448463978517e-14	2.348414121083702e-14	0.9999999999994389	4.4363188856854315e-13
SRR12051809	0.0	0.0	0.0	0.0	1.0
SRR7800724	0.0	0.0	0.0	0.0	1.0
Node_37	9.865824791825406e-05	0.0010841078694096358	0.0002954394488627519	0.9929407361520943	0.0055810582817150435
ERR3198442	0.0	0.0	0.0	1.0	0.0
Node_52	0.004679053724150658	0.05226603817966706	0.016117349694588595	0.2727521583441119	0.6541854000574818
SRR7800424	0.0	0.0	0.0	0.0	1.0
