node	Australia	Canada	Czech Republic	Denmark	Germany	Ireland	Netherlands	Spain	Sweden	UK	USA
Node_200	1.3829252564539e-07	1.0242504697179792e-07	1.7977356916337902e-06	7.50222724158126e-08	5.191562637592407e-07	1.7655064058479885e-07	1.515468521429861e-07	2.4770238969597817e-08	5.0028582786888284e-08	1.4248508456320872e-05	0.9999827159634288
Node_202	7.378813235865543e-08	5.465052082668181e-08	3.175611733566601e-08	4.002928742709191e-08	1.1452196852402836e-06	9.420130995761047e-08	8.086025112966749e-08	1.3216543371472288e-08	2.6693697080101835e-08	8.914380560996718e-07	0.9999975481463993
Node_869	5.140388446639181e-06	3.8096702937054406e-06	9.380836143632154e-07	2.788609052597316e-06	0.00012451577622411955	6.562460701913644e-06	5.6330792163386144e-06	9.207199722108422e-07	1.8596192138674065e-06	5.286433572008042e-05	0.9997949672575441
Node_990	6.768996690789821e-05	5.0133889204404935e-05	1.235287037569656e-05	3.6721297576748585e-05	0.003767244578291971	8.641618305667592e-05	8.652648968822037e-05	1.2124279171593452e-05	4.702285398673796e-05	0.0007493664383023455	0.9950844011534377
ERR567874	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0
ERR3198408	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0
ERR5414157	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0
Node_92	0.00018612718909635835	4.964954185992418e-06	1.2233242713826506e-06	3.6365554901535647e-06	5.620722944625246e-06	8.55794127021909e-06	7.345922261178128e-06	1.4469504596555193e-06	2.425017686261845e-06	0.999776039439376	2.6119829581058774e-06
Node_94	2.0092671464774612e-08	9.052778952672417e-09	2.2305792593805823e-09	6.630805455004318e-09	1.0248687380934988e-08	1.5604338724311482e-08	1.3394373201053695e-08	2.2001061366092828e-09	4.421717349311772e-09	0.9999999121736968	3.950245241533511e-09
Node_98	0.00012005078430315034	7.996227034431947e-05	1.9702487078952972e-05	5.856925202315038e-05	9.052564702638691e-05	0.0001378315882739447	0.00011831118029749697	1.9354502966301164e-05	3.905659418970377e-05	0.9992818896777372	3.474601575936978e-05
ERR5413006	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0
Node_102	4.795068796480328e-11	3.551024132824625e-11	8.749628202669763e-12	2.6009872624581504e-11	4.0201308145158235e-11	6.120928526169405e-11	5.2540516112199484e-11	8.587732860459844e-12	1.7344545216705722e-11	0.9999999996864796	1.5416627458909052e-11
Node_107	3.6859220914785142e-06	1.1024584095212093e-06	2.7164246249860113e-07	8.075069803377954e-07	1.2480967290573986e-06	1.9003140009073303e-06	1.6311819024847736e-06	2.6963198143743095e-07	5.384817348177899e-07	0.9999880605458861	4.842178213661965e-07
Node_108	1.745455242482642e-10	4.847640228045412e-11	1.1944438988870036e-11	3.550703292487324e-11	5.4880283057778944e-11	8.355904461604705e-11	7.172498929205028e-11	1.1873152714708728e-11	2.3677676048843463e-11	0.9999999994624881	2.1323359014372044e-11
ERR5413077	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0
Node_115	2.1590133827669233e-11	1.3112315352369962e-11	3.2308387403063315e-12	9.604259993617778e-12	1.4844510047495024e-11	2.2601798100358446e-11	1.9400816921476448e-11	3.176389216775802e-12	6.4045496929834215e-12	0.9999999998803317	5.702540184925373e-12
Node_122	0.9999999981364672	8.722283762597646e-11	2.1491473158612447e-11	6.38873408586159e-11	9.874537693831941e-11	1.5034669825835115e-10	1.2905383698708897e-10	2.1094235259617266e-11	4.260293344343834e-11	1.2112198551306984e-09	3.786822247064497e-11
SRR6871395	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
SRR30795547	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0
Node_138	6.9180427853594776e-06	5.123818957675022e-06	1.2624801239106506e-06	3.7529534344846208e-06	5.800629640103928e-06	9.353376613307122e-05	7.5810486748221625e-06	1.2391206146791243e-06	2.5026370363343244e-06	7.11452684708676e-05	0.9998011402341287
SRR7800669	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0
Node_199	0.002150610329066036	0.001592827779090981	0.05486260816678016	0.0011666844859254855	0.010961512991474031	0.002745569904941237	0.0023567283822615056	0.000385206275363819	0.0007779973441943679	0.4162708154301322	0.5067294389107702
ERR1413208	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0
SRR12051536	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0
Node_863	6.173673431180246e-10	4.43691186917237e-09	1.1266481681343284e-10	3.3491557726213865e-10	9.563495438042194e-09	7.881600729603844e-10	6.765389154819686e-10	1.105796671676093e-10	2.2334044145839045e-10	6.442320412517755e-09	0.9999999766937053
Node_868	0.0019894791915394563	0.0014734877588425848	0.00036306340013729136	0.0010792724634966784	0.9175268242489801	0.002539862345608904	0.0021801541711664696	0.0003563452936763382	0.000719707104317595	0.02045991710801522	0.051311886914219215
SRR7800515	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0
Node_989	0.0004421370188776635	0.0003274643092256492	8.068632771083803e-05	0.00023989841459305677	0.944967863266148	0.0005644528329927417	0.0036284859818392044	7.919331175057976e-05	0.005897350154594171	0.018101170908112616	0.025671297474155346
Node_16	1.1961789955262458e-09	8.619957306318709e-10	2.1239343075087564e-10	6.313783799913369e-10	9.758693237980109e-10	1.4858288591706556e-09	1.275398246874844e-09	2.0850768229248642e-10	4.210313144809701e-10	0.9999999923571042	3.743138670821714e-10
Node_91	9.165141889091959e-08	3.445931044311344e-08	8.49067483166458e-09	2.5240086293146593e-08	3.901151310224025e-08	5.939773962933498e-08	5.098553075208346e-08	8.395498826863936e-09	1.683121729597779e-08	0.9999996504618508	1.5075159088926553e-08
ERR5413060	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0
ERR5413096	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0
Node_95	3.8417407942911986e-11	2.768167108006438e-11	6.820689337738564e-12	2.0275748497780715e-11	3.133854690478862e-11	4.771511539514865e-11	4.095745896224637e-11	6.695909911139364e-12	1.3520775041779702e-11	0.9999999997545561	1.2020525916358132e-11
Node_97	4.822961917837057e-11	3.521510916010824e-11	8.676908325766765e-12	2.5793699469367307e-11	3.986718718459406e-11	6.070056288098846e-11	5.210384157293925e-11	8.517288352684715e-12	1.7200391297946924e-11	0.9999999996884054	1.529022053939048e-11
ERR5414272	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0
ERR5412534	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0
Node_105	2.265052279329628e-11	1.6598910664102375e-11	4.089927023265218e-12	1.2158057285965932e-11	1.87917032295527e-11	2.8611674012635823e-11	2.4559543752729758e-11	4.014575179823579e-12	8.107535834083214e-12	0.9999999998532104	7.206951387335637e-12
Node_106	1.4304567252971256e-09	5.150055446288545e-10	1.2689587352634406e-10	3.7722122935442236e-10	5.830396441790008e-10	8.877183740031637e-10	7.619951994700943e-10	1.2555674484306234e-10	2.515479704062707e-10	0.9999999947151051	2.254575482448296e-10
ERR330891	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0
ERR369226	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0
ERR5413076	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0
Node_114	1.502067984042328e-11	1.1124914051358344e-11	2.741148978550618e-12	8.148567473455445e-12	1.2594566558253824e-11	1.9176102788197374e-11	1.6460285938725127e-11	2.690426901961679e-12	5.433828878544904e-12	0.9999999999017796	4.8298321307019945e-12
SRR25361503	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
SRR6871400	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Node_135	1.8821923614508465e-11	1.3940276141780618e-11	3.4348433395300335e-12	1.0210701035186868e-11	1.578183579562982e-11	4.254431343611043e-11	2.0625841194972765e-11	3.371285474468474e-12	6.808951675975904e-12	1.9356567184120083e-10	0.9999999996708944
Node_137	5.5535179010940226e-08	4.1131568423512366e-08	1.0134708109690307e-08	3.01272763727178e-08	4.6565238458328545e-08	0.9999984568079534	6.0857762455226e-08	9.947176001245341e-09	2.009021400623647e-08	5.711269375359856e-07	6.976759862333801e-07
Node_151	0.0033572939378589232	0.002486545783949838	0.7474073000478656	0.001821298214327895	0.0038578231048906103	0.00428607873465908	0.00367906254507718	0.0006013412451516447	0.001214523027007427	0.17258990652934952	0.05869882682986225
Node_198	0.0021521098297282507	0.001593938369083542	0.05479540190782596	0.0011674979499620283	0.010980523287644975	0.002747484237740242	0.002358371597548724	0.0003854748582201386	0.0007785397983601927	0.4169376382036741	0.5061030199602118
Node_218	7.066629762475018e-10	5.557100748964464e-09	1.2896048761639603e-10	3.8335756071719283e-10	8.778121882040966e-09	9.021590619944957e-10	7.743925935429922e-10	1.2657384231675094e-10	2.556433619351031e-10	7.385347710676184e-09	0.9999999750016798
Node_862	3.1034147506169207e-07	2.3435034795183926e-07	5.663473714012972e-08	1.683571307132626e-07	2.6032688731558885e-07	3.9619646695142177e-07	3.4008511564735513e-07	5.5586770918016697e-08	1.1226805719365837e-07	3.1916332305075613e-06	0.9999948742197805
ERR7253720	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0
Node_867	1.9050008583396918e-05	1.4109196229119913e-05	3.476468069442009e-06	1.0334438168983515e-05	0.9996428359852243	2.432013347527222e-05	2.0875792934581997e-05	3.412139685631256e-06	6.891465128145691e-06	0.00019591137114289441	5.8783001358447733e-05
Node_875	8.387664551685847e-10	6.21223887874921e-10	1.5306789953213237e-10	4.5502883408310737e-10	0.9999999794702717	1.0708085539686386e-09	1.3860109861328487e-09	1.502355390617001e-10	1.155389341669445e-09	1.0638616929333038e-08	4.060579753245982e-09
Node_988	0.00011578007838839603	8.575134352613832e-05	2.112890107219967e-05	6.287609146668095e-05	0.9594678989054691	0.00014781027251779838	0.0049348270041412534	2.07379329276707e-05	0.00881586141171388	0.02191858497301676	0.004408743085760155
Node_13	8.979619500046853e-13	6.635793402529907e-13	1.6350416901632908e-13	4.860460937534622e-13	7.51241233271814e-13	1.1438169818167822e-12	9.818238246961155e-13	1.6048145222660322e-13	3.2411725240602774e-13	0.9999999999941392	2.8809513769160896e-13
ERR5413474	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0
Node_42	6.472518134477126e-08	2.4746436104769024e-08	6.0974507382470106e-09	1.8125789275031554e-08	2.8015532814693078e-08	4.265559552491913e-08	3.661449393454886e-08	6.0276014784611745e-09	1.2087086169431896e-08	0.999999750081614	1.0823218563198813e-08
Node_90	1.1511040481687046e-07	8.523830018554543e-08	2.100248850190026e-08	6.243374439235892e-08	9.649867314618002e-08	1.4692593561015598e-07	1.2611754007943583e-07	2.0613891160069927e-08	4.1633610371398314e-08	0.9999992474195228	3.700588883228911e-08
ERR484997	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0
ERR485003	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0
ERR5412755	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0
Node_96	3.889329474080197e-14	2.8769807074684204e-14	7.088803277921636e-15	2.107276629916667e-14	3.257043137777902e-14	4.959074510959698e-14	4.256745249200524e-14	6.957699364907734e-15	1.4052262123403981e-14	0.9999999999997459	1.2490408297256004e-14
ERR343184	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0
ERR374046	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0
ERR369270	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0
ERR337831	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0
