node	Ireland	UK
Node_25	2.6317646955238526e-12	0.9999999999973681
ERR5412508	0.0	1.0
Node_43	2.574446741932898e-08	0.9999999742555326
Node_53	1.883210219317111e-12	0.9999999999981167
Node_60	2.3155287994792327e-06	0.9999976844712005
ERR330778	0.0	1.0
ERR363264	0.0	1.0
ERR494898	0.0	1.0
Node_70	1.766948235990845e-06	0.999998233051764
Node_77	6.6174391244565774e-06	0.9999933825608757
Node_80	1.5644615146845773e-07	0.9999998435538486
Node_84	2.708671821007259e-12	0.9999999999972914
Node_87	5.1103763111573025e-05	0.9999488962368884
ERR5412822	0.0	1.0
ERR5412721	0.0	1.0
Node_96	1.1915337276978361e-06	0.9999988084662722
Node_97	6.300706502856035e-05	0.9999369929349714
ERR115040	0.0	1.0
ERR115079	0.0	1.0
ERR5413211	0.0	1.0
Node_11	1.0232016945009105e-12	0.9999999999989768
Node_14	0.9999999736515786	2.6348421528049204e-08
Node_15	0.9999999839474549	1.605254510906415e-08
Node_17	1.762603096395974e-11	0.999999999982374
Node_19	0.07990976422892743	0.9200902357710726
ERR363268	0.0	1.0
ERR330782	0.0	1.0
ERR363260	0.0	1.0
ERR330774	0.0	1.0
Node_37	1.6146543334459764e-12	0.9999999999983853
Node_42	2.4724595153905573e-13	0.9999999999997528
ERR363241	0.0	1.0
ERR330755	0.0	1.0
Node_58	3.880048468392893e-12	0.9999999999961199
Node_59	1.8811161394880827e-12	0.9999999999981188
ERR494899	0.0	1.0
Node_69	1.3513385733475237e-12	0.9999999999986486
Node_73	8.392163914972636e-10	0.9999999991607836
Node_76	5.994955767694492e-13	0.9999999999994005
ERR494918	0.0	1.0
Node_79	6.249394134775587e-11	0.9999999999375061
ERR363356	0.0	1.0
ERR337766	0.0	1.0
Node_85	1.1854624809351407e-05	0.9999881453751908
Node_86	2.9536139231507907e-12	0.9999999999970463
Node_94	1.8952982332507666e-05	0.9999810470176675
Node_95	1.1179510666440691e-08	0.9999999888204893
ERR5413727	0.0	1.0
ERR5412856	0.0	1.0
ERR5413210	0.0	1.0
ERR5414207	0.0	1.0
ERR4020076	1.0	0.0
ERR4020072	1.0	0.0
ERR4020082	1.0	0.0
ERR4020079	1.0	0.0
ERR363266	0.0	1.0
ERR330780	0.0	1.0
ERR4020052	1.0	0.0
Node_18	2.404181939824423e-11	0.9999999999759582
Node_28	2.0722612643578478e-16	0.9999999999999999
Node_36	2.0723093672307325e-16	0.9999999999999999
ERR363271	0.0	1.0
Node_41	5.515844540966339e-13	0.9999999999994484
Node_56	2.3151133453288306e-16	0.9999999999999998
Node_57	2.284015668341908e-16	0.9999999999999998
ERR3198413	0.0	1.0
ERR567867	0.0	1.0
ERR5413365	0.0	1.0
Node_68	2.047645726956214e-16	0.9999999999999999
ERR5413514	0.0	1.0
Node_72	1.1467270186475398e-08	0.9999999885327299
ERR5413741	0.0	1.0
Node_75	1.1116397346484418e-12	0.9999999999988883
ERR5412434	0.0	1.0
Node_78	2.3859338246514842e-09	0.9999999976140661
ERR5413755	0.0	1.0
ERR5414276	0.0	1.0
ERR337813	0.0	1.0
ERR363403	0.0	1.0
ERR5412115	0.0	1.0
Node_93	8.676501927894577e-13	0.9999999999991324
ERR5413582	0.0	1.0
ERR5413358	0.0	1.0
ERR5412484	0.0	1.0
ERR5413107	0.0	1.0
ERR5413977	0.0	1.0
Node_27	1.9213200044394877e-16	0.9999999999999999
Node_35	6.69219566114027e-16	0.9999999999999993
ERR5413297	0.0	1.0
ERR330785	0.0	1.0
Node_40	5.452003288365727e-13	0.9999999999994548
ERR5412399	0.0	1.0
Node_55	2.7983189065339517e-13	0.9999999999997201
ERR337744	0.0	1.0
ERR363334	0.0	1.0
ERR5414117	0.0	1.0
Node_67	1.9213197743283164e-16	0.9999999999999999
ERR5414056	0.0	1.0
ERR5413778	0.0	1.0
SRR6044902	0.0	1.0
Node_74	1.081666009782942e-12	0.9999999999989183
ERR5413747	0.0	1.0
ERR5413250	0.0	1.0
ERR5413411	0.0	1.0
Node_92	2.002429104077628e-16	0.9999999999999999
SRR6045196	0.0	1.0
ERR5411990	0.0	1.0
Node_34	1.0881069797236238e-14	0.9999999999999891
SRR6046653	0.0	1.0
ERR330784	0.0	1.0
Node_39	1.9722855354461365e-16	0.9999999999999999
ERR5414373	0.0	1.0
ERR5414168	0.0	1.0
ERR5414375	0.0	1.0
ERR5413740	0.0	1.0
SRR6388709	0.0	1.0
SRR6046008	0.0	1.0
ERR5412015	0.0	1.0
Node_91	1.9213193516338663e-16	0.9999999999999999
Node_33	4.402222728314936e-12	0.9999999999955977
SRR6046272	0.0	1.0
ERR363270	0.0	1.0
Node_38	1.9213190698454996e-16	0.9999999999999999
ERR5413992	0.0	1.0
ERR5412908	0.0	1.0
Node_32	2.7095822599082517e-13	0.999999999999729
ERR5412519	0.0	1.0
ERR363269	0.0	1.0
ERR330783	0.0	1.0
ERR5412879	0.0	1.0
Node_31	1.946666768997471e-16	0.9999999999999999
Node_29	1.921318830355913e-16	0.9999999999999999
Node_30	1.921318830355913e-16	0.9999999999999999
ERR5412976	0.0	1.0
ERR5413573	0.0	1.0
SRR6045755	0.0	1.0
ERR5413614	0.0	1.0
